slug,colorCode,type,number,name,ciConstitutionNumber,alternateNames,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
bile-yellow,Y,ETC,,Bile Yellow,,"Bile Yellow;
 Lombard Gold","Fish bile or gall stones, chalk, & vinegar",-,X,X,A,
cerium-yellow-77280,Y,ETC,,Cerium Yellow,77280,"Cerium Oxide;
 Cerium Sesquioxide;
 Cerium Yellow;","Cerium oxide (Ref Color index 3rd Ed., V.4, Inorganic colorants CI 77280); (Ref Pigment Compendium, 2008, p.96); 
 Cerium(III) oxide; Cerium sesquioxide (Ref wikipedia)
  
 Cerium oxide:
 CAS 1306-38-3
 Cerium(III) oxide:
 CAS 1345-13-7",Pale yellow to orange yellow,X,X,A,
jarosite,Y,ETC,,Jarosite,,"Antunesite;
 Antunesita;
 Antunezit;
 Antunezita;
 Antunezite;
 Antunit;
 Gelbeisenerz;
 Gelbeisenerz (of Hausmann);
 Jarosit;
 Jarosita;
 Jarosite [GEN | KP.p | NP.p];
 Jarosite (of Breithaupt);
 Leucanterit; 
 Leucanterita;
 Leucanterite;
 Vitriolgelb;
 Yellow Jarosite [GEN | NP.p]","Natural yellow mineral of Potassium Iron Sulfate Hydroxide (Ref, The Mineral Jarosite, from galleries.com),  (Ref webmineral.com), (Ref wikipedia)
  
 CAS 12207-14-6",Pale reddish Yellow,O,I,A,"""jarosite is resistant to atmospheric gases, is lightfast and possess good hiding power"" (Ref Safely Handling Artist's Materials @ Natural Pigments);
  
 Found on Mars, it's said this mineral can not form without liquid water, (Ref skyandtelescope.com)"
lead-tin-antimony-yellow,Y,ETC,,Lead-Tin Antimony Yellow,,Lead-Tin Antimony Yellow,"Ternary oxide of lead, tin and antimony (Ref northernlightstudio.com);
 Pb2SnSbO6,5
  
 Production and characterization of lead, tin and antimony based yellow pigments, (DOC file), by C. Pelosi, U. Santamaria, G. Agresti, E. Mattei, A. De Santis, Production and characterisation of lead, tin and antimony based yellow pigments, Proceedings of the International Conference Conservation Science 2007, Milan 10-11 May, 2007, Edited by Joyce H. Townsend, Lucia Toniolo and Francesca Cappitelli, Archetype Publication, 2008, pp. 187-188
  
 ARTIFICAL YELLOW PIGMENTS, A study of lead, tin and antimony based yellow pigments PDF.",Reddish Yellow,O,I,C,"Differs from Naples yellow which is pure lead antimonate (Ref northernlightstudio.com);
  
 Contains lead; may darken by atmospheric hydrogen sulfide;"
lead-tin-yellow-type-i-77629,Y,ETC,,"Lead-tin Yellow, type I",77629,"Amarelo de estanho e chumbo;
 Amarillo de plomo estano ;
 Bleinzinngelb;
 Giallo di piombo e stagno;
 Giallolino*;
 Giallorino*;
 Jaune de plomb étain;
 Kitrino molybdoy - kassiteroy;
 Lead Stannate;
 Lead Tin Orange [NP.p];
 Lead Tin Oxide;
 Lead-tin Yellow;
 Lead-tin Yellow, type 1;
 Lead-tin Yellow Lemon (type I) [NP.o.p];
 Lead-tin Yellow Light (type I) [KP.p | NP.p];
 Lead-tin Yellow (type I) [GEN | KP.p | NP.o.p];
 Lood-tingeel;
 Massicot*;
 Masticot*;","Lead stannate, prepared from a heated mixture of lead dioxide with tin dioxide; Lead-tin oxide; (Ref Natural Pigments)
  
 Chemical composition : Pb2SnO4
  
 Lead-tin yellow (Ref info CAMEO Materials Database MFA, Boston);
  (Ref at Kremer Pigments);
  
 Artificial Yellow Pigments: Production and Spectroscopic Characterization, e-PS, ©2010, 7, 108-115, A study of lead, tin and antimony based yellow pigments PDF.
  
 CAS 12143-43-0
 CAS 12036-31-6",Light bright yellow,O,I,C,"Contains lead; may darken by atmospheric hydrogen sulfide; (Ref naturalpigments.com)
  
 *It is now generally thought the following historic terms referred to lead-tin yellow: giallolino; giallorino; massicot; masticot; ;(Ref info CAMEO Materials Database MFA, Boston);"
lead-tin-yellow-type-ii-77629,Y,ETC,,"Lead-tin yellow, type II",77629,"Amarelo de estanho e chumbo;
 Amarillo de plomo estano ;
 Bleinzinngelb;
 Giallo di piombo e stagno;
 Giallolino*;
 Giallorino*;
 Jaune de plomb étain;
 Kitrino molybdoy - kassiteroy;
 Lead Stannate;
 Lead-tin Yellow, 
 Lead-tin Yellow, type 2;
 Lead-tin Yellow Dark (type II); [NP.p];
 Lead-tin Yellow Deep [KP.p];
 Lead-tin Yellow (type II) [GEN | KP.p]'
 Lood-tingeel;
 Massicot*;
 Masticot*","Lead-tin oxide with tin oxide and silicon;
 Lead-Tin Oxide Silicate;
 Made by fusing lead, tin, and quartz.; (Ref Natural Pigments);
  
 Lead-tin yellow (Ref info CAMEO Materials Database MFA, Boston);
  (Ref at Kremer Pigments);
 Artificial Yellow Pigments: Production and Spectroscopic Characterization, e-PS, ©2010, 7, 108-115, A study of lead, tin and antimony based yellow pigments PDF. 
 Making pigment lead-tin yellow type II at webexhibits.org
  
 CAS 12143-43-0;
 CAS 8012-00-8",Redder and deeper than type 1,S/O,I,C,"Contains lead; may darken by atmospheric hydrogen sulfide
  
 *It is now generally thought the following historic terms referred to lead-tin yellow: giallolino; giallorino; massicot; masticot; ;(Ref info CAMEO Materials Database MFA, Boston);"
limonite-77492,Y,ETC,,Limonite,77492,"Bog Ore;
 Brown Hematite;
 Brown Ocher;
 Eisenoxyd-Hydrate
 Ferrite (of Vogelsang);
 Ferrohydrite;
 Ferrum Limosum;
 Gel-goethite;
 Hydroferrite;
 Hydrosiderite;
 Hyposiderite;
 Limonite [NP.p];
 Marsh Ore;
 Meadow Ore;
 Morasterz;
 Ochre;
 Ortstein;
 Pecheisenstein;
 Perlimonite;
 Pigment Yellow 43;
 Raseneisenstein;
 Seeerz;
 Sumpferz;
 Umber;
 Yellow Ocher",Natural mineral Iron Oxide Hydroxide; (Ref and Pic mindat.org); (Ref Natural Pigments),Light brown to dull light reddish yellow,O,I,A,
mori-yellow,Y,ETC,,Mori Yellow,,"Mori Yellow [KP.p];
 Yellow Marble;
 Yellow Marble Dust",Powdered yellow marble; Mostly Calcium carbonate with iron oxides or/and other mineral impurities,Light brownish Yellow,X,I,A,*depends on binder medium
basic-mercury-sulfate,Y,ETC,,Basic Mercury Sulfate,,"Basic Mercury Sulfate;
 Basic Sulfate of Mercury;
 Mercury Sulfate;
 Mercury Yellow;
 Queen’s Yellow;
 Turbith Mineral;
 Turbith Minerall;
 Turpeth Mineral;
 Turpith Mineral;","Mercury Oxide Sulfate or Basic Mercury Sulfate;
 Created by calcining at high temperature a mixture of mercury (quicksilver) and sulfuric acid (oil of vitriol) in equal amounts in a retort, until a white mass has condensed at the bottom. It is then cooled, the retort broken open and the white mass powdered. It acquires it's yellow color after pouring water on the powder and grinding. Afterwards, it is washed, levigated and dried (Reference recipe by Robert Dossie Handmaid to the Arts, by 1764 pg. 100-01) 
  
 Prepared by heating
 mercury and sulfuric acid, of equal quantities, in a retort until the mercury changes to a white mass, which was then powdered
 and washed until it turned yellow, (Ref Pigment Compendium, By Valentine Walsh, Tracey Chaplin, 2008, p.376);",Bright true yellow,X,X,C,"Once used as an emetic (Ref Pigment Compendium, By Valentine Walsh, Tracey Chaplin, 2008, p.376);"
pararealgar,Y,ETC,,Pararealgar,,"Arsenic Sulphide;
 Pararealgar","A form of Arsenic Sulphide created by exposing realgar to the sun; (Ref CAMEO, Fine Arts Boston); (Mindat Ref); (Webmineral.com Ref)
  
 Pararealgar is an arsenic sulfide mineral with the chemical formula As4S4[1] also represented as AsS.[3] It forms gradually from realgar under exposure to light. Its name derives from the fact that its elemental composition is identical to realgar, As4S4. (Ref Wikipedia);",Bright Reddish yellow,O,II,C,"Found in ancient Byzantine manuscripts,
 Pararealgar, a yellow pigment, is a light-induced transformation product of the orange/red pigment realgar (Ref, Raman Microscopy of a 13th Century Illuminated Text, R. J. H. Clark and P. J. Gibbs); 
  
 It is usually the unwanted effect of exposing Realgar to strong light.; (Ref, The light-induced alteration of realgar to pararealgar, by D. L. Douglass,. Chichang Shing, American Mineralogist, Vol. 77 article);"
platina-yellow,Y,ETC,,Platina Yellow,,"Lemon Yellow;
 Platina Yellow;
 Potassium Chloroplatinate;","Made from Platinum;
 ""A yellow crystalline powder of potassium chloroplatinate. Platina yellow was sold for a short time in the late 18th and early 19th century as an artists pigment. It was initially called lemon yellow. Potassium chloroplatinate is now used in photography"";
 Potassium Chloroplatinate; Platinum (IV) Potassium Chloride; Potassium Platinichloride (Ref CAMEO Materials Database, MFA Boston);
 Potassium hexachloroplatinate;
 Dipotassium platinum hexachloride; (Ref Chembook);
 Potassium platinic chloride 
 (Pic);
  
 CAS 16921-30-5",Orange to yellow*,T,X,B,"Reference from Chromatography by George Field, 1841;
  
 * Color depends on how finely it is ground in artists paint.;
 ** Material is irritating to mucous membranes and upper respiratory tract if inhaled. Exposure can cause coughing, chest pains, difficulty in breathing. May cause sensitization by inhalation. Can cause lung damage."
safflower,Y,ETC,,Safflower,,"Dyer's Thistle;
 False Saffron;
 Safflower;
 Safflower Yellow",Made from the Feverfew safflower petal (Carthamus tincrorius L.),Red-Brownish Yellow,T,III,A,"Used as a substitute or adulterant of saffron; water soluble; Used in Dyes and as food coloring;
 Info on using as dye; Dyeing with Safflower Wildcolours.co.uk;
 Info on Pigments made from Safflower @ the Safflower pigment institute of Tianjin
  
 Interesting nutritional data @ Sigma-Aldrich"
tungsten-yellow-77250,Y,ETC,,Tungsten Yellow,77250,"Artificial Scheelite;
 Calcium Wolframate;
 Giallo di Tungsteno;
 Jaune Minéral;
 Mineralgelb;
 Mineral Yellow;
 Scheelite*;
 Tungsten Yellow;
 Wolframgelb;
 Wolfram Yellow;
 Yellow Mineral","Calcium tungstate;
 Tungsten yellow CaWO4, is a deep lemon-colored powder. Create the pigment by grinding the fine metallic tungsten powder with fused potassium carbonate. (Ref: A Treatise on Colour Manufacture: By Georg Zerr, Robert Rübencamp, 1908, pg.155)
  
 * Scheelite is the natural mineral (Ref Mineral at mindat.org); (Ref: wikipedia); (Ref at WebMineral.com); (Ref: at minerals.net);
  
 CAS 7790-75-2",Deep lemon yellow,X,X,,
antimony-orange-77060,O,ETC,,Antimony Orange,77060,"Antimony Orange;
 Antimony Vermilion;
 Golden Sulphur of Antimony;
 Golden Yellow;
 Goldschwefel;
 Lymphoscan;
 Pigment Red 107","Antimony trisulphide; 
 Sulfide of Antimony",Bright Orange,O,I,D,Decomposed by alkalis
chamotte,O,ETC,,Chamotte,,Chamotte [KP.p],"Ground ceramic refractory brick; mostly clay, color probably from iron oxides",light red orange,X,I,A,used as an additive for lime mortars to increase the stability and add colour
irgazin-orange-2037,O,ETC,,IRGAZIN Orange 2037,,IRGAZIN Orange,"Diketo-pyrrolo-
 pyrrole/Isoindoline",Bright Orange,O,I,A,Intimate mixture
