slug,colorCode,type,number,name,alternateNames,ciConstitutionNumber,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
NBk1,Bk,CINATURAL,1,Logwood Lake,"C.I. Natural Black 1;
 Log Wood Extract [KA.p];
 Logwood [NP.p];
 Logwood Extract Powder [KP.p];
 Logwood Lake
 Natural Black 1",75290,"Logwood Dye precipitated with various inert pigments to form a lake; 
 Hematoxylin (leuco form);
 Hematein (oxidized form)
  
 CAS 8005-33-2","Brown to reddish-brown, black to blue-black",T,IV,A,"Reddish brown turns blue-black in presence of alkalis
  
 *ingesting large amounts can be poisonous"
NBk2,Bk,CINATURAL,2,Logwood Black Lake,"C.I. Natural Black 2;
 Lakka;
 Logwood Black Lake;
 Natural Black 2 
 Sinipuu-uute",75291,Hematoxylin oxidized to Hematein,Blue-purple black,X,X,A,*ingesting large amounts can be poisonous
NBk3,Bk,CINATURAL,3,Logwood,"C.I. Natural Black 3;
 Logwood extract;
 Logwood Lake;
 Natural Black 3;
 Sinipuu-uute",75291,"Hematoxylin oxidized to Hematein (Ref), (Ref)",Blue-purple black,X,X,A,*ingesting large amounts can be poisonous
NBk4,Bk,CINATURAL,4,Logwood,"C.I. Natural Black 4;
 Logwood Lake;
 Natural Black 4;
 Sinipuu-uute","75290
 75291","Hematoxylin oxidized to Hematein (Ref)
  
 CAS 8005-33-2",Blue-purple black,X,X,A,*ingesting large amounts can be poisonous
NBk6,Bk,CINATURAL,6,Asphaltum,"Alfalto (It.);
 Antwerp Braun;
 Antwerp Brown;
 Asfalt (Ned.); 
 Asfalto (Port.);
 Asphalt paint;
 Asfalto (Port.,Esp.);
 Asfaltos (Gr.);
 Asphalte (Fr.);
 Asphaltum [KP.p];
 Asphaltite;
 Bitume (It.);
 Bitumen** [ KA.ad.o.p | MA.o(artis) | MR.o];
 Bitumen of Judea;
 C.I. Natural Black 6;
 Brown
 Erdpech;
 Gilsonite;
 Gilsonite (Asphaltum) [NP.p];
 Goudron;
 Jew's Pitch;
 Mineral Pitch;
 Natural Black 6;
 Pissasphaltum;
 Shilajit;
 Uintaite;",,"The natural form of a resinous hydrocarbon similar to petroleum asphalt; (Reference Pigment Compendium, 2008);
 Asphaltum is defined by Child (per 1995) as different from petroleum asphalt. 'Asphaltum' being defined as the naturally occurring material (Nbk6), and the term 'asphalt' meaning those products derived from of coal tar. (Ref Pigment Compendium, 2008, p.32);
  (Mindat.org Mineral Ref);
 (Ref Natural Pigments);
  (Ref: The Manufacture of Varnishes and Kindred Industries: Vol. 2, 1908 By Achille Livache);
 (Asphaltum Ref at Boston Fine Arts, CAMEO: Conservation & Art Materials Encyclopedia Online); 
 (Bitumen Ref at Boston Fine Arts, CAMEO: Conservation & Art Materials Encyclopedia Online);
 (Ref: Asphaltum: Bitumen - Mineral Pitch - Antwerp Brown - Mummy - Mumie section of The Chemistry of Paints and Painting, By Arthur Herbert Church)
 More Info on the free art e-books page.",Dark blackish red-brown with a yellow undertone,T,X,A,"Usually substituted with more permanent earth colors or iron oxides in artist paints.;
  
 Although dark brown in color and sometimes confused with PBr6, Asphaltum is Color index Natural Black 6.;
  
 ?* Unrated by ASTM, Asphaltum is reportedly light fast when used as oil color but has problems with shrinkage and cracking: see Wetcanvas.com Thread (Ref).; 
  
 Reportedly the oil paint never dries and causes ""dripping"" (Ref:Color: A Natural History of the Palette, By Victoria Finlay, ©2002, p.104);
  
 Highly refined asphaltum may be more stable when used in oilcolors. (Ref: Natural Pigments).
  
 ** Bitumen is actually a range of compounds described in the Pigment Compendium, 2008 as 'a complex group of synthetic or natural, solid or high viscosity mixtures of hydrocarbons and volatile substances, that include the asphalts'.
 In an artistic sense, as a pigment , it most often refers to Asphaltum, but has also been used as a name for humic earths (eg. Cassel Earth, Van Dyke Brown) and lignites. (Reference Pigment Compendium, 2008)"
PBk1,Bk,CIPIGMENT,1,Aniline Black,"Aniline Black [WNd];
 Black #1;
 Black Aniline; 
 Black Lake [SE.p];
 C.I. Pigment Black 1;
 Diamond Black;
 Intense Black [SE.a];
 Jet Black [DR.g | HO.ag.g | WN.g];
 Noir de Jais;
 Negro de Asa Bache;
 Paliotol Black;
 Peach Black [HO.w];
 Pigment Black 1",50440,"Azine;
 CAS 13007-86-8",Black,X,I,,"* Not rated by the ASTM
 ""As a clothing dye, it has been reported to have excellent lightfastness"" Blick Art Materials site (Ref).
 In most available gouache paints lightfastness is rated at their top level.
 In a watercolor mixture w/ lamp black it had good results on handprint, but this more likely due to the Lamp Black rather than the Aniline Black, see PBk-1 at Handprint.com"
PBk6,Bk,CIPIGMENT,6,Carbon Black,"Antique Black [HO.w];
 Black [DV]; 
 Blacking;
 Blue Black [SCH.w | WN];
 Carbon Black [DV.af];
 Carbon Black Lamp Black; 
 Charcoal Grey [GR.w];
 C.I. Pigment Black 6;
 Gas Black;
 Gas Soot;
 Ivory Black [DV.k.o];
 Ivory Black Hue [DV.k.o];
 Kohlenschwarz;
 Lamp Black [AS | BA.w | BX.w | DR | DS.ad.i.o.pd.w | DV.a.k..o.w | GR.o.w.wo | HO.o.w | MG.a.g.o.w | RT.w | UT.w | WL.o.p | WN.a.k.o.wo.w.w.wp];
 Negro de carbon;
 Nero Carbon;
 Noir de Charbon;
 Pigment Black 6;
 Thermal Black;
 Thermatomic Black;
 Vegetable Black W9823;
 Velvet Black",77266,"Inorganic;
 Almost pure carbon made by burning petroleum residue (Ref: Color Index, Pigment and Solvent Dyes Edition, 1997);
  
 How Carbon Black is made at webexhibits.org
  
 CAS 1333-86-4","Black with Brown or Blue or Undertone;
 heavy staining w/ very good tinting strength
 slow drying",S/O,I,A,More info on PBk-6 in watercolors at Handprint.com
PBk7,Bk,CIPIGMENT,7,Lamp black,"Antique Black [HO.w(ant)];
 Bistre (hue) [MA.o(Ren)];
 Bistro;
 Black [DR.a | HO.af];
 Black Hacker (MA.o(HD)];
 Blacking;
 Blue Black;
 Bone Black [GU]; 
 Candle Black [PF.w];
 Caligo;
 Carbon [GU];
 Carbon Black [ CAS.k | CL | CR.a(jo).ao.o | GO.a.ab.af.ag.ao | GU | JO.a | KA.ad.o.p | MA.o.p.w | OH.a | SE.a | TA.a.af ];
 Carbon Lampblack;
 Carbon soot;
 Carbon Water [GU];
 Channel Black [GU];
 Channel Extra Black [GU];
 Charcoal Black [RGH.o];
 Charcoal Gray [SCH.w];
 C.I. Pigment Black 7;
 Flame Black;
 Flamruss;
 Fuligino;
 Fuligo;
 Fullerene tubes;
 Furnace Black;
 Graphite Grey [WL.p];
 Grey Shade [CH];
 Ivory Black [CR.a | BA.a | HO.g | MA.a | MR.o | WL.p];
 Ivory Black Imitation [PF.o]
 Jet Black [AS];
 Lamp Black[GEN | AS | BA.o.w | DR.o.o.w.w | DS.ad.i.o.pd.w | HO.a.ag | MH.o | MW.o | RT.a.o | SCH.o.o(Mus).p | WN.g];
 Lampblack;
 Lampenschwlarz;
 Mars Black [BA.a | CR.ao.o | WL.p];
 Mummy (hue) [MA.o(Ren)];
 Negro de humo;
 Nero di Lampa;
 Nero Fiamma;
 Nero Fume;
 Noir de Bougie;
 Noir de Fumeé;
 Nnoir de Houille;
 Noir de Lampe;
 Oil Black;
 Pigment Black 7;
 Primary Black [OH.g];
 Process Black [DR.a(s3hb).a(s3mb)];
 Russ;
 Scheveningen Intense Black [OH.o.w];
 Sepia [MA.g]; 
 Smoke Black;
 Soot Black;
 Transparent Black [HO.o];
 Transparent Shading Gray [GO.ab];
 Vegetable Black;
 Velvet Black [DR.g];
 XSL Black [KP.p]",77266,"Inorganic; 
 Amorphous carbon from soot (Ref: Color Index, Pigment and Solvent Dyes Edition, 1997).
 Almost pure carbon made by burning petroleum or natural gas and collecting the soot.
 Lamp soot was the one manufacture method hence the name.(Ref Boston Fine arts);
  
 LBNLPigment Database Spectral radiative properties;
 Carbon Black;
  
 CAS 1333-86-4","Deep Black, brown undertone;
 Med. Staining w/ good tinting strength;
 Slow drying in oils",S/O,I,A,"More info on PBk-7 in watercolors at Handprint.com
 *Carbon is not hazardous, but there may be other combustion products that are hazardous and are can be present as impurities when produced from natural materials. Commercial preparations of the pigment should be considered as possibly slightly toxic. Avoid skin contact and inhalation. Where such impurities are present, Lamp Black is a possible human carcinogen. (Ref: Blick Art Materials pigment info)
  
 Very fine particle size (Ref Natural Pigments)"
PBk8,Bk,CIPIGMENT,8,Vine Black,"Black Ochre;
 Blue Black;
 Carbon Black [SE.o];
 Charcoal;
 Charcoal Black;
 Charcoal Grey [HO.o | WN.o];
 C.I. Pigment Black 8;
 Coke Black;
 Cork Black**;
 Drop Black;
 Earth Black;
 Frankfort Black;
 German Black;
 Grade Black;
 Grape Black;
 Kernel Black;
 Marc Black;
 Mineral Black;
 Native Black;
 Paper Black;
 Peach Black [KP.p];
 Pigment Black 8;
 Prussian Black;
 Roman Black [NP.p];
 Roman Earth; 
 Spanish Black;
 Transparent Black [AS];
 Vegetable Black;
 Vine Black [GR.o | OH.o.w? | SCH.p | SE.os];
 Wine Lees Black;
 Yeast Coke;
 Yeast Black",77268,"Inorganic;
 Natural carbon of organic and mineral origin and may contain a substantial amount of impurities*** (Ref: Color Index, Pigment and Solvent Dyes Edition, 1997).; 
 ""Impure carbon of organic and mineral origin""*** (Ref Color index 3rd Ed., V.4, Inorganic colorants CI 77268);
 Made by burning vegetable matter in a low oxygen environment. Name comes from the grape vines* used in one method of manufacture., (Ref Pigment Compendium, 2008, p.396); , (Ref paint making at paintmaking.com);
  
 How Carbon Black is made at webexhibits.org
  
 CAS 1339-82-8","Black, Undertone depends on impurities can be blueish to brownish;
 Very staining w/ good tinting strength;
 Slow drying in oils",S/O,I,A,"* Similar to the vine charcoal sticks used in drawing, and just powdered
  
 ** Cork Black is also referred to as ‘beggar’s ultramarine’ or 'poor man's ultramarine' and said to be the 'bluest of blacks' (Ref Pigment Compendium, 2008, p.138); 
  
 *** this definition seems to indicate that the natural mineral blacks (i.e. Roman Earth, Black Ochre) as well as the blacks from burning vegetable matter (i.e. Vine Black, Cork Black) fit the designation of Pigment Black 8."
PBk9,Bk,CIPIGMENT,9,Bone Black,"Abaiser;
 Animal Black;
 Animal Bone Charcoal;
 Animal Charcoal;
 Blue Black;
 Bone Black [ DS.pd | GO.a.af.ag.ao | KP.p | WN];
 Bone Black (Ivory) [DS.pd];
 Bone Char; 
 Bone Charcoal;
 C.I. Pigment Black 9;
 Carbone Animale; 
 Drop Black;
 Elfenbeinschwarz (Deut.);
 Frankfort Black;
 German Black;
 ivoorzwart (Ned.); 
 Ivory Black (hue*) [GEN | AS | BA.a.o.o.w | BX.o.w | BR | DR.a.o.o(georg).o.w.w.t | DS.ad.o.w | DV.w | GB.o.o.p | GR.o.o.w.w.wo | HO.w.wo | KA.o.p | LB.o | LQ.a | MA.o.o(artis).p.w.w | MG.a.g.o.w | MH.o | MW.o.wo | OH.a.o.w | RGH.o.p | ROSS.o | RT.a.o.wo | SE.a.o.o.p.w |  SCH.a.g.o.o(Mus).p | SH.w | TA.a.af | UT.a.o.w | WL.o | WN.a.a.g.k.o.wo.w.w.wp];
 Ivory Black Extra [ OH.a.o.w ];
 Lamp Black [AS | DR.g | SCH];
 Mayro elefantodontoy (Gr.); 
 Negro de Huesos;
 Negro marfil (Esp.);
 Negro de marfim (Port.); 
 Nero Avorio;
 Nero d'avorio (It.);
 Nero d'ossa;
 Noir Animal;
 Noir d'os;
 Noir d'ivoire (Fr.);
 Ossa Sepiae;
 Paris Black;
 Pigment Black 9;
 Sepia Extra [OH.o];
 Velvet black",77267,"Inorganic; 
 Amorphous Charred-Bone Carbon;
 Calcined animal bones consisting of a ""Mixture of carbon (10%), calcium phosphate (78%), calcium carbonate (8%) with small quantities of calcium sulphate, magnesium phosphate, calcium sulfide and other soluble salts"" (Ref: Color Index, Pigment and Solvent Dyes Edition, 1997);
 Ivory Black (Ref at Boston Fine Arts CAMEO Database);
 Bone Black (Ref at Boston Fine Arts CAMEO);
 Animal Black (Ref at Boston Fine Arts CAMEO);
  
 LBNLPigment Database Spectral radiative properties;
 Ivory Black;
  
 How bone black is made at webexhibits.org
  
 CAS 8021-99-6",Brownish 'Peachy' Black;,S/O,I,A,"(Ref. @ CAMEO Art Material Database)
 * Although similar in chemical composition, true Ivory black iused to be from calcined ivory. Ivory is now banned and illegal to import. Bone black and Ivory black have come to be used interchangeably to name artist paints made from Calcined (burnt) animal bones."
