slug,colorCode,type,number,name,alternateNames,ciConstitutionNumber,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
NB1,B,CINATURAL,1,Indigo,"Baghdad Indigo;
 C.I. Natural Blue 1 (natural);
 C.I. Pigment Blue 66 (synthetic);
 Dyer's woad;
 Indaco;
 Inde Blew;
 Inde Blue;
 Indian Blue;
 Indigo [NP.p];
 Indigo Blue;
 Indigo, Genuine Indian [KP.p];
 Indigo, Genuine, pieces [KP.p];
 Indigo, made of Woad [KP.p];
 Indicum;
 Indigotin;
 Lombardy Indigo;
 Lulax; 
 Natural Blue 1;
 Pastel;
 Rich Indigo;
 Rock Indigo;
 Stone Blue;
 see PB66",75780,"Natural Indigotin; 
 Fermented extract from the leaves of Indigofera tinctoria or Baphicacanthus cusia (Ref Pigment Extraction Techniques from the Leaves of Indigofera tinctoria, CMU. Journal (2002) Vol. 1, p.149)","Dark Greenish to reddish Blue
 † Fades",T,III,A,"The dye used for blue jeans
 ** Natural indigo may be slightly toxic (Ref at Blick Art Materials)"
NB2,B,CINATURAL,2,Indigo Carmine,"Blue Carmine;
 Blue of England;
 Blue of Holland;
 CI Acid Blue 74;
 Chemic Blue;
 C.I. Natural Blue 2;
 C.I. Natural Blue 63;
 Composition Blue;
 FD&C Blue No. 2;
 Food Blue 1;
 Indigo Carmine;
 Indigo Purple;
 Indigotine;
 Indigotin Blue [KP.p];
 Sodium Indigotin Disulfonate;
 Saxon Blue;
 Saxony Blue;
 Sulphate of Indigo;
 Indigo Disulphonic Acid (Br.);
 Natural Blue 63 (aluminum salt);
 Natural Blue 2",73015,"Natural Sodium Indigotin Disulfonate;
 Sulphoindigotic acid;
 Natural Indigo treated with sulfuric acid (Ref Pigment Compendium, 2008, p.201);
 CAS 860-22-0",Dark blueish purple,X,III,A,Indigo Carmine (Ref at Boston Fine Art)
PB1,B,CIPIGMENT,1,Victoria Blue,"Cascade Blue;
 Fast blue Toner BR;
 C.I. Pigment Blue 1; 
 Fast Blue Lake BO;
 Fast Royal Blue Lake;
 Pigment Blue 1;
 Ultra Blue B;
 Victoria Blue PMA;",42595:2,"Organic;
 Triphenylmethane Phospho-tungstomolybdic acid salt;
 CAS 1325-87-7",Bright reddish blue,T,IV,A,
PB1:2,B,CIPIGMENT,1.2,Victoria Blue SMA,"C.I. Pigment Blue 1:2;
 Lamprolac Blue RM;
 Pigment Blue 1:2;
 Victoria Blue SMA;",42595:3,"Organic;
 Triphenylmethane Silicomolybdic acid salt;
 CAS 69980-72-9",Bright reddish blue,T,IV,A,
PB9,B,CIPIGMENT,9,Pigment Blue 9,"C.I. Pigment Blue 9;
 Pigment Blue 9",42025:1,"Organic;
 Triphenylmethane Phospho-tungstomolybdic acid salt;
 CAS 1325-74-2",Bright Greenish Blue,X,X,A,
PB15,B,CIPIGMENT,15,Phthalocyanine Blue,"Alizarin Blue Lake;
 Antique Sky Blue [HO];
 Azure Blue (hue) [LA.a];
 Azure Hue [SE.p];
 Blue MC [EP.p];
 Bleu Minéral [SE];
 Blue Compose;
 Blue Lake [OH.o];
 Cerulean Blue Hue [CR.a | WN.w]; 
 Cerulean Blue (Substitute) [SE.p];
 Cerulean Blue Phthalo;
 C.I. Pigment Blue 15; 
 Cobalt Blue (hue) [HO.af];
 Cobalt Teal (Hue) [DV.k];
 Cyanine Blue B;
 Gafast Pigment Blue 15;
 Heliogen Blue [SI.p];
 Hogar Blue [LB.av.o];
 Hoggar Blue [LB.av.o];
 Horizon Blue;
 Hortensia Blue [LB.o];
 Hydranger Blue;
 Hydrangea Blue [HO.o];
 Intense Blue [WN.w.];
 Katsura Blue [HO.a];
 Lonocyanine Alpha Blue;
 Manganese Blue Hue [DS.o.w | DV.k.o | WN.w.wp];
 Manganese Blue Nova [HO.w];
 Marine Blue [HO.wo];
 Monestial Blue [DR.o];
 Monestial Blue (Phthalo) [DR.o.t];
 Monestial Turquoise [DR.o];
 Monestial Turquoise (Phthalo) [DR];
 Old Holland Blue [OH.o];
 Opaque Cerulean (hue) [HO.af];
 Oriental Blue [HO.o];
 Permanent Blue [LA.a];
 Phthalo Blue [GEN | BA.o.a | DR.a.a(s3hb).a(s3mb).o | DS.o | DV.a.af.k..o.w | HO.wo | MW.o | RT.a.a.o.wo | SE.w | SI.p | WN.k.w];
 Phthalo Blue Deep [LA.a];
 Phthalo Blue Green [RT.w]; 
 Phthalo Blue (Green Shade) [DS.ad.o | DR.a | UT.a.o];
 Phthalo Blue (GS) [DS.ad.o];
 Phthalo Blue Red [GU | RT.w]; 
 Phthalo Blue (Red Shade) [CR.ao.o | DS.ad.o | DR.a.w | DV.w | HO.w | MG.w | WN.wo];
 Phthalo Blue (Yellow Shade) [HO.w ];
 Phthalo Blue (RS) [CR.ao.o | DS.ad.o | DR];
 Phthalocyanine Blue [GEN | BA.a | PF | SE.p];
 Phthalocyanine Blue (Green Shade) [LQ.a];
 Phthalocyanine Blue Red Shade [MG];
 Pigment Blue 15;
 Primary Blue [BA.a | DR.a | SE.p | WN.g];
 Primary Cyan [HO,g];
 Primary Phthalo Blue [PF.o];
 Process Cyan;
 Prussian Blue (hue) [LA.a];
 Prussian Blue Hue [MR.o];
 Prussian Blue Phthalo [MR.o];
 Scheveningen Blue Deep [OH.o];
 Shiva Blue Deep [SV];
 Thalo Blue [BR | GRd];
 Transparent Blue [HO.o];
 Winsor Blue [WN.a.a.g]; 
 Winsor Blue (Green Shade) [WN.o.w.wp.wp(L)];
 Winsor Blue (Red Shade) [WN.o.w.wp.wp(L)];
 Plus numerous hues of less lightfast or more expensive pigments (i.e. Cerulean; Cobalt; etc.) alone and In mixtures","74160
 a form","Synthetic organic;
 Copper Phthalocyanine;
 Tetracholoro Phthalocyanine;
 The organic colorant is precipitated on aluminum hydrate base to form a intense dark blue lake pigment. Color variations are achieved by adjusting the formulation, for example chlorinating the copper phthalocyanine produces greener pigments. (Ref: CAMEO Database at Boston MFA)
 Download the Gharda Pigments Tech Data Sheet PDF (Ref)
 (Ref: PCImag.com Article);
 LBNLPigment Database Spectral radiative properties;
 Phthalo Blue (i);
 Phthalo Blue (ii);
 Synthesis of Copper Phthalocyanine on the UC235 Youtube Channel: [YouTube Video]
 Synthesis of Copper Phthalocyanine the Texium YouTube Channel: [YouTube Video] CAS 147-14-8","Intense deep blue in mass tone reddish to greenish bright blue in shades, has 'green shade' & 'blue shade' varieties.
 Heavily staining w/ over powering tinting strength, unless extended.;
 † Darkens, Dulls, Fades*; These effects are inherent to their light fastness and may take decades or centuries to have any noticeable effects.",T,I,A,"Extremely powerful tint strength, usually extended to some degree; 
 * Most of the Phthalocyanine pigments can ""bronze"" over in masstone, usually additives & modern manufacturing techniques help prevent this.
 Phthalocyanines Have a tendency to flocculate (granulate) extremely, paint makers usually add additives like Surfactants & flow improvers to counteract this, as a result they usually are non-granulating in watercolors.
 Particle size effects color and light fastness (Ref handprint.com)
 ** Rated with excellent lightfastness in watercolors in tests by Bruce MacEvoy @ handprint.com. See PB-15 @ Handprint.com;
 *** Phthalo Blues have no significant hazards, may have traces of suspected carcinogen, teratogen. Before 1982 samples may be contaminated with traces of PCB (Ref Blick Art Materials pigment info);
 (Ref: CAMEO Materials Database at Boston Fine Arts);"
PB15:1,B,CIPIGMENT,15.1,Phthalocyanine Blue RS,"Berlin Blue [MA.o.w];
 Blockx Blue [BX.o.w];
 Cerulean Blue Hue [MA.g];
 C.I. Pigment Blue 15:1; 
 Cyanine Blue BS;
 Cyan Thalo [CH];
 Indigo [SE.a];
 Intense Blue [CH];
 Noblesse Blue [MA.o(HD)];
 Permanent Blue [LK];
 Phthalocyanine Alpha Blue;
 Phthalo Blue [BA.o | GB.o.o | KP.p | LK | MA.a.p | SCH.w | SE.o | WN.o];
 Phthalo Blue GS [RGH.o];
 Phthalo Blue, Primary Blue [KP.p];
 Phthalo Blue Red [RT]; 
 Phthalo Blue (Reddish) [SQ.a];
 Phthalo Blue (Red Shade) [GO.a.af.ao | TA.a.af | KA.p | SE.a | WN.a];
 Phthalo Blue RS [DR.w | GO.a.af.ao | RGH.o];
 Phthalo Cyan [CH];
 Pigment Blue 15:1;
 Prussian Blue (hue) [LK];
 Tetra-Chloro Perywinkle [GU.pd];
 Thalo Blue RS;
 Transparent Blue [OH.a];
  Turquois (Phthalo) [GO.ab];
 Winsor Blue RS [WN]; 
 Plus numerous hues of less lightfast or more expensive pigments (i.e. Cerulean; Cobalt; etc.) alone and In mixtures","74160
 a form","Synthetic Organic;
 Copper Phthalocyanine;
  
 C32H16CuN8
  
 CAS 12239-87-1","Intense deep blue in mass tone reddish bright blue in shades;
 Heavily staining w/ over powering tinting strength, unless extended.
 † Darkens, Dulls (see above)",T,II,A,"Extremely powerful tint strength, usually extended to some degree; 
 Particle size effects color and lightfastness (Ref handprint.com)
 **Phthalo Blues have no significant hazards, may have traces of suspected carcinogen, teratogen. Before 1982 samples may be contaminated with traces of PCB (Ref Blick Art Materials pigment info);
 (Ref: CAMEO Materials Database at Boston Fine Arts);"
PB15:2,B,CIPIGMENT,15.2,Phthalocyanine Blue,"Alpha Blue - NC;
 Antique Bronze Blue [HO.w];
 Blue Green;
 Blue Lake [OH.w];
 C.I. Pigment Blue 15:2; 
 Phthalo Blue [GB.o | OH.a];
 Phthalo Blue Red Shade [CAS.k];
 Phthalocyanine;
 Phthalocyanine Blue;
 Pigment Blue 15:2;
 Scheveningen Blue Deep [OH.w];
 XSL Phthalo Blue, Royal Blue [KP.p];
 Plus numerous hues of less lightfast or more expensive pigments (i.e. Cerulean; Cobalt; etc.) alone and In mixtures","74160
 a form","Synthetic Organic;
 Copper Phthalocyanine;
 CAS 12239-87-1","Intense deep blue in mass tone reddish to greenish bright blue in shades;
 Heavily staining w/ over powering tinting strength, unless extended.;
 † Darkens, Dulls (see PB15 above)",T,II,A,"Extremely powerful tint strength, usually extended to some degree; 
 Particle size effects color and light fastness (Ref handprint.com)
 *Phthalo Blues have no significant hazards, may have traces of suspected carcinogen, teratogen. Before 1982 samples may be contaminated with traces of PCB (Ref Blick Art Materials pigment info);
 (Ref: CAMEO Materials Database at Boston Fine Arts);"
PB15:3,B,CIPIGMENT,15.3,Phthalocyanine Blue BGS,"Alizarin Blue Lake [SE.o];
 Avatar Blue [MA.o(HD)];
 Azure (hue) [LK];
 Bleu Phtalocyanine [LB.o];
 Bleu Primaire [LB.o];
 Blockx Blue [BX]; 
 Blue Lake [SE.os];
 Brilliant Blue [UT.a]; 
 Cerulean Blue (hue) [HO.af];
 Cerulean Blue Hue [UT.a | SH.w];
 C.I. Pigment Blue 15:3 
 Cobalt Blue (hue) [HO.ag]; 
 Cobalt Blue Hue (Primary Blue) [DR.o];
 Cyan (Primary) [LK];
 Cyanin Blue [PF.w];
 Cyanine Blue [PF.w];
 Cyanine Blue BGS;
 Dark Blue [KP.p];
 Dark Blue Medium [BA.ag];
 Helio Blue [SCH.g];
 Helio Cerulean [SCH.w];
 Heliogen® Blue [KP.p];
 Marine Blue;
 Manganese Blue Hue [AS | UT | WN];
 Manganese Blue Nova [HO.a];
 Oriental Blue [HO.a];
 Peacock Blue [SH.w];
 Phthalo Blue [AS | CR.a(jo).a .ao.o | DR.w | DS.ad.i.o.w | GO.ab | DV | JO.a | LB.o | LK | MA.o(artis) | MG.g.w | RF.e | ROSS.o | SCH.a.o.p | UT.w | WL.o.p];
 Phthalo Blue (Blue Shade) [MW.wo];
 Phthalo Blue Cyan [SCH.a]; 
 Phthalo Blue Green [GU | RT];
 Phthalo Blue (Greenish) [SQ.a];
 Phthalo Blue Green Shade [DR.w | DS.w | KA.p | RGH.o.p | SE.a | TA.a.af | WN.a];
 Phthalo Blue (GS) [ DR.w | DS.w];
 Phthalo Blue Lake [MH.o];
 Phthalo Blue Primary Blue [SI.p];
 Phthalo Blue Red Shade [RGH.o.p];
 Pthalo Blue Slight Red [GU];
 Phthalo Blue royal blue [KP.p];
 Phthalocyanine Beta Blue;
 Phthalocyanine Blue [ KA.ad | LQ.a | MG.a.o | MT | UT];
 Phthalocyanine Blue (G.S.) [KA.o];
 Phthalocyanine Blue (Green Shade) [LQ.a];
 Phthalocyanine Blue Lake [MH];
 Phthalocyanine Turquoise [MA.p];
 Phthalo Turquoise [WNd];
 Pigment Blue 15:3;
 Primary Blue [BX.o.w | LB.o | LK | LQ.a];
 Primary Blue (Cyan) [LK | MA.a.g.o.w.w];
 Primary Phthalo Blue [PF.o];
 Primary Phthalocyanine Blue [PF.o];
 Process Cyan [DR | WN.a];
 Prussian Blue (hue) [LA.a];
 Richeson Blue [SQ.a];
 Royal Blue;
 Scheveningen Blue [OH.o.w];
 Sky-Blue [KP.p | MA];
 Thalo Blue GS;
 Translucent Cyan [SCH.o(Mus)];
 Transparent Phthalo Blue (Green Shade) [];
 Winsor Blue GS [WN]; 
 Plus numerous hues of less lightfast or more expensive pigments (i.e. Cerulean; Cobalt; etc.) alone and In mixtures","74160
 b form","Synthetic Organic;
 Beta Copper Phthalocyanine;
  
 C32H16CuN8
  
 CAS 147-14-8","Intense deep blue in mass tone greenish bright blue in shades;
 Heavily staining w/ over powering tinting strength, unless extended.
 † Darkens, Dulls (see PB15 above)",T,II,A,"Extremely powerful tint strength, usually extended to some degree; 
 * Appears to have slightly less lightfastness in some brands of watercolors than plain old PB-15, but still rated as excellent in watercolor tests by Bruce MacEvoy @ handprint.com. See PB-15 @ Handprint.com;
 Particle size effects color and light fastness (Ref handprint.com) 
 ** ""Phthalo Blues have no significant hazards, although those made before 1982 contained some PCBs (polychlorinated biphenyls)"" (Ref Blick Art Materials pigment info)"
PB15:4,B,CIPIGMENT,15.4,Phthalocyanine Blue NCF,"Blue Phthalocyanine Beta Form;
 Cerulean Blue Hue (primaire) [SE.o];
 C.I. Pigment Blue 15:4 
 Copper Phthalocyanine Blue; 
 Cyanine Blue NCF;
 Manganese Blue Hue [BA.w | GB.o]; 
 Manganese Blue Phthalo [RT.o];
 Phthalo Blue [CL | BA.w | GR.o.o.w.w.wo?* | RT];
 Phthalo Blue Green [RT.o];
 Phthalo Blue (Green Shade) [CAS.k | GO.a.ab.af.ag.ao];
 Phthalo Blue G.S. [GO.a.ab.af.ag.ao ];
 Phthalocyanine Beta Blue NCF; 
 Phthalocyanine Blue NCF;
 Phthalo Blue (NCFβ-Form);
 Phthalo Blue G (NCNF);
 Pigment Blue 15:4;
 Primary Cyan;
 Shiva Blue Light [SV];
 Thalo Blue [GR.o.o.w.w.wo];
 Transparent Phthalo Blue G.S. [GO.ab];
 Transparent Phthalo Blue (Green Shade) [GO.ab];
 Plus numerous hues of less lightfast or more expensive pigments (i.e. Cerulean; Cobalt; etc.) alone and In mixtures","74160
 b form","Synthetic Organic;
 Beta Copper Phthalocyanine;
 CAS 147-14-8","Intense deep blue in mass tone reddish to greenish bright blue in shades;
 Heavily staining w/ over powering tinting strength, unless extended.;
 † Darkens, Dulls (see PB15 above)",T,II,A,"Extremely powerful tint strength, usually extended to some degree; 
 Staining; 
 Particle size effects color and lightfastness (Ref handprint.com) 
 *Phthalo Blues have no significant hazards, may have traces of suspected carcinogen, teratogen. Before 1982 samples may be contaminated with traces of PCB (Ref Blick Art Materials pigment info);
 (Ref: CAMEO Materials Database at Boston Fine Arts);"
