slug,colorCode,type,number,name,alternateNames,ciConstitutionNumber,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
NBr3,Br,CINATURAL,3,Catechin,"Black Catechu;
 Catechin;
 Catechou [KP.p];
 Catechu [KP.p];
 Catechu-Arten;
 C.I. Natural Brown 3;
 Cutch;
 Gambier;
 Katha;
 Kattha;
 Kavari; 
 Natural Brown 3",75250,"Catechinic acid from the left over of katha made from Acacia catechu;
 CAS 154-23-4 (Hydrate)
 CAS 100786-01-4",Brown,T,X,A,
NBr6,Br,CINATURAL,6,Ganga,"C.I. Natural Brown 6;
 Ganga;
 Harda;
 Natural Brown 6",,"Chebulinic Acid; Extracted from the dried fruits of Terminalia chebula (Myrobalan);
 CAS 114921-10-7",Yellow brown,T,X,A,
NBr7,Br,CINATURAL,7,Juglone,"Akhnot;
 C.I. Natural Brown 7;
 Iuglon;
 Juglane;
 Juglone;
 Natural Brown 7;
 Natural walnut stain powder [KA.p];
 Oil Red BS;
 Nucin;
 Regianin;
 Walnut extract;
 Yuglon",75500,"Extract from the nut-shells, roots, leaves, bark and wood of trees of the Juglandaceae family, usually Black Walnut.; Naphtoquinone;
 CAS 481-39-0",Dark brown,T,IV,A,"Historically used for inks and stains more than artist's paint. Sometimes used as a natural herbicide.
 * (Ref)"
NBr8,Br,CINATURAL,8,Van Dyke Brown,"Bruno Vandyck;
 Caledonian Brown;
 Cappagh Brown;
 Cassel Brown;
 Cassel Brown, Van Dyck Brown [KP.p]; 
 Cassel Earth [NP.p];
 Cassel's Earth [KA.p];
 Cassel Umber;
 Caste Earth;
 Castle Earth;
 C.I. Natural Brown 8;
 Coal Brown;
 Cologne Brown;
 Cologne Earth;
 Cologne Umber;
 Collens Earth;
 Cullen Earth;
 Cullens Earth;
 Czechia;
 Genuine Cassel's Earth [KA.p];
 Humic Earth;
 Kassel Earth;
 Kassel Umber;
 Lignite;
 Mineral Brown;
 Natural Brown 8;
 Preto de Frandes;
 Rubens' Brown;
 Sap Brown;
 Spanish Brown;
 Terre de Cassel;
 Terra di Colonia;
 Ulmin Brown;
 Van Dyck Braun;
 Van Dyck Brown [KP.p];
 Van Dyke Brown [GEN, HO.w | NP.p | SH.w | WL.o];
 Vandyke brown [HO.w | SH.w];",77727,"Lignite;
 Brown earth with Peat and Coal residues (Ref @ CAMEO Art Material Database);
 Composition varies;
 Making pigments: Van Dyke Brown?* at webexhibits.org;
 CAS 72669-22-8",Dull dark earth brown,S/O,III,A,"Named after the artist Van Dyke who used it extensivly;
 May be as much as 90% organic matter (Ref. webexhibits.org)
 Genuine Van Dyke Brown is NBr8. Sennelier's Van Dyck Brown dry pigment, Utrecht's Van Dyke Brown oil paint and Schminke's Cassel Earth oil color all indicate they are PBr8, which is a more stable pigment but not the genuine Van Dyke Brown.
 The Color Index (Third Edition 1997) lists Van Dyke Brown or Cassel Earth as Natural Brown 8 (NBr8), and lists Pigment Brown 8 (PBr8) as Manganese hydroxide and oxides (the natural form usually also contains iron oxides and clays). 
 This seems to be a common point of confusion even among pigment and paint manufacturers. see PBr8
 * Not rated by the AMST, usually though of as fugitive, but some old paintings have survived in fairly good shape, though it can cause sagging in oil paints. Kremer's BWS seems to indicate excellent lightfastness.
 Rated III (fair) in lightfastness tests on watercolor by Bruce MacEvoy @ handprint.com. See Natural Brown 8 @ Handprint.com;
 May be more stable in oil paints when mixed with resins (Ref. Natural Pigments);"
NBr9,Br,CINATURAL,9,Sepia,"C.I. Natural Brown 9;
 Natural Brown 9;
 Sepia [KP.p];
 Sepia fine [KP.p]; 
 Sepia Ink [KP.p]; 
 Sepia very fine [KP.p];",75500,"from the ink sac of adriatic cuttlefish; Sepia Officinalis;
 CAS 8030-69-1",Dark Reddish Brown black,T,IV,A,
NBr11,Br,CINATURAL,11,Bistre,"Birchwood Soot;
 Bister;
 Bister Ink [KP.p];
 Bistre [KP.p];
 C.I. Natural Brown 11;
 Genuine Birchwood Soot; 
 Soot of Wood",,Prepared from birchwood soot (Ref),Deep brown,T,IV,A,
PBr1,Br,CIPIGMENT,1,Permanent Brown FG,"BON Brown;
 C.I. Pigment Brown 1;
 Microdis Brown MGR;
 Permanent Brown FG;
 Pigment Brown 1",12480,"Monoazo;
 Azomethine;
 CAS 6410-40-8",Reddish brown,X,X,A,
PBr6,Br,CIPIGMENT,6,Iron Oxide Hydroxide Brown,"Antique Cypress Bark;
 Antique Smoked Bamboo;
 Blue Ridge Burnt Umber [NP.p];
 Blue Ridge Raw Umber [NP.p];
 Brown Iron Oxide [SCH.a];
 Brown Magnetite Iiron Oxide;
 Brown Ochre [DS.o];
 Brown Ochre Goethite [DV.o];
 Brown Oxide [KA.p]; 
 Brown Oxide Medium [GU];
 Brown Ochre Goethite [DV.o];
 Burnt Sienna [GEN];
 Burnt Umber [GEN | DR.a(s3hb).a(s3mb) | HO.ag.a(gesso)];
 Burnt Umber Xtra Dark [GU];
 C.I. Pigment Brown 6;
 Cyprus Burnt Umber [NP.p];
 Cyprus Burnt Umber Warm [NP.p];
 Cyprus Raw Umber Light [NP.p]; 
 Cyprus Raw Umber Medium [NP.p];
 Cyprus Raw Umber Dark [NP.p];
 Dark Goethite [DV.o];
 Deep Brown [LA.a];
 Dutch Brown [WL.o];
 Dutch Brown (Transparent) [WL.p];
 Dutch Brown (Transparent) [WL.o];
 Enviro-Friendly Brown Iron Oxide [DS.o.w];
 Enviro-Friendly Iron Oxide [DS.o.w];
 Enviro-Friendly Red Iron Oxide [DS.o.w];
 Enviro-Friendly Yellow Iron Oxide [DS.o.w];
 Environox Dark Brown1 [EP.p]; 
 Ferric oxide;
 German Umber [KA.p];
 Goethite;
 Goethite Genuine [DV.o];
 Iron Oxide Brown;
 Iron Oxide Hydroxide;
 Italian Burnt Sienna [NP.p];
 Italian Raw Sienna [NP.p];
 Italian Burnt Umber [NP.p];
 Italian Burnt Umber Warm [NP.p];
 Italian Green Raw Umber [NP.p];
 Italian Raw Umber [NP.p];
 Light Brown [LA.a];
 Luberon Burnt Sienna [NP.p];
 Luberon Burnt Umber [NP.p];
 Luberon Raw Sienna [NP.p];
 Luberon Raw Sienna Light [NP.p];
 Luberon Raw Umber [NP.p];
 Magnetite;
 Maroon Oxide [GU];
 Mars Brown;
 Mars Yellow [GO.a.ao];
 Mineral Brown;
 Monte Amiata Natural Sienna [DS.w];
 Natural Black Iron Ore;
 Natural Brown Oxide [CAS.k];
 Nicosia Burnt Sienna [NP.p];
 Nicosia Burnt Sienna Dark [NP.p];
 Nicosia Raw Sienna [NP.p];
 Nicosia Burnt Umber CC [NP.p];
 Nicosia Burnt Umber NC [NP.p];
 Nicosia Burnt Umber WN [NP.p];
 Nicosia Burnt Umber WW [NP.p];
 Nicosia Raw Umber [NP.p];
 Oxide Brown Medium [LA.a];
 Pigment Brown 6;
 Pompeii Red;
 Raw Siena [KA.o];
 Raw Sienna [NP.p | KA.o];
 Raw Umber [NP.p | KA.o];
 Rhombehedral Magnetite;
 Red Oxide Dark [GU];
 Turkey Umber;
 Van Dyke Brown (hue) [ KA.o.p | MGd]
 Van Dyke Brown (Synthetic) [CAS.k];","77491
 77492 
 77499","Synthetic Inorganic;
 Brown magnetite iron oxide
 ""Produced by controlled oxidation of Pigment Black 11(Black Iron Oxide). Chemically Fe2Oa-xFeO.yH20.""
 (Ref. Paint and Coating Testing Manual: 14th ed. of the Gardner-Sward handbook/Joseph V. Koleske, editor; p.212)
 Synthetic Feric oxide and Ferroso-ferric hydroxide;
 The Preparation of Magnetite, goethite, hematite and magnemite of pigment quality from mill scale iron waste.
 Goethite - (Ref at Mindat.org)
 Magnetite - (mindat.org Ref);
 Making pigments: Umbers at webexhibits.org;
  Fe2O3, FeO·Fe2O3, Fe(OH)2·Fe2O3
 CAS 52357-70-7
 EU 257-870-1","Brown to dull red;
 Very staining, w/ good tinting strength
 † Fades in tints; 
 Oil paints and watercolors using PBr6 and PBr 7 exist in almost any shade of yellow orange, red and violet brown to green brown, depending on the ratios of hydrated iron (yellower) to anhydrous iron (Redder), and other clays & minerals in the sample.",X,II,A,"1 Environox Dark Brown from Earth Pigments is Iron Oxide produced from reclaimed iron sludge.
 * Rated with 'very good' (equivalent AMST II) in lightfastness tests on watercolor by Bruce MacEvoy @ handprint.com. See Pigment Brown 6 @ Handprint.com;
 ** Excess iron can cause the skin to take on a 'ruddy' appearance if ingested in large quantities.
 Do not ingest in large quantities;
 Avoid dust."
PBr7,Br,CIPIGMENT,7,Brown Iron Oxide,"Antique Cypress Bark [HO.w(ant)];
 Antique Smoked Bamboo [HO.w(ant)];
 Bauxite Mummy [NP.p*];
 Bloodstone;
 Blue Ridge Violet Hematite [NP.p];
 Bohemian Green Earth [SCM];
 Burnt Hematite [DV.o];
 Bauxite;
 Brown Earth [CR.a(jo) | JO.a];
 Brown Earth from Florence [MA.o];
 Brown Earth from Otranto [KP.p];
 Brown Ochre [BX.o | RGH.o.p | SE | WL.o.p | WN.o.o.w.wp];
 Brown Orche Deep [OH.o];
 Brown Ochre from Elba [KP.p];
 Brown Ochre Light [BX.o | OH.o.w | WNd];
 Brown Umber [WL.o.p];
 Burnt Hematite [DV.o];
 Burnt Natural Earth;
 Burnt Sienna No.3 [KP.p];
 Burnt Sienna [GEN | BA.a.w | CAS.k | CR.a(jo).a ao.o | DS.a.o.i.w | DV.a.af.k.o.w | GB.o.o.p | GO.a.ab.af.ag.ao | GR.w.w | GU | HO.a.o.o.w.wo| JO.a | KA.ad.o.p | KP.p | LB.o | LK | LQ.a | MA.o(It).o(Puro).o(artis).o.p.w.w | MG.a.g.o.w | MH.o | MR.o | OH.a.o.w | PF.o.o | MW.o.wo | RF.e | RGH.o.p | ROSS.o | RT.o.w | SCH.o.p | SH.w | SE.p.t.w | SQ.a | TA.a.af | UT.w | WL.o.p | WN.o];
 Burnt Sienna Dark [GU];
 Burnt Sienna Deep [BX.o.w];
 Burnt Sienna, England , brown-red [KP.p];
 Burnt Sienna, from England [KP.p];
 Burnt Sienna, from France [KP.p];
 Burnt Sienna Light [BX.o.w]; 
 Burnt Sienna Natural [AS];
 Burnt Umber [GEN | AS | BA.a.o.w | BX.o.w | CAS.k | CL | CR.a(jo).a ao.o | DR.a.g.o.o(georg).o. w.w.t | DS.a.i.o.w | DV.a.af.k..o.w | GB.o.o.p | GO.a.af.ag.ao | GR.o.o.w.w.wo | GU | HO.g.o.o.w.wo.| JO.a | KA.ad.o.p | LB.av.o | LQ.a | MA.o.o(artis).o.p.w.w | MG.a.g.o.w | MH.o | MR.o | MT | MW.o.wo | OH.a.o.w | PF.o | RF.e | RGH.o.p | ROSS.o | RT.o.w |SCH.o.o(Mus).p.w | SE.p.t.w | SH.w | SV | SQ.a | TA.a.af | UT.a.o.w | WL.o.p | WN.a.a.k.o.wo.w.wp.wp(L)];
 Burnt Umber Dark [RGH.o];
 Burnt Umber Dark Brown [KP.p];
 Burnt Umber (Cyprian) [KP.p];
 Burnt Umber, Cyprian, dark brown [KP.p];
 Burnt Umber Light [GO.a.af | GU];
 [GU];
 Calcined Earth;
 Calcined Natural Sienna;
 Calcined Natural Umber;
 Calcined Original Natural Earth;
 Caledonian Brown;
 Cappagh Brown;
 Cassel Earth [BX.o | CH | MA.p | MR.o | NP.p]; 
 Cassel Brown Earth;
 Cat-Tail Brown [GU];
 Chestnut Brown;
 C.I. Pigment Brown 7;
 Colonial Burgundy [EP.p];
 Colonial Burnt Umber [EP.p];
 Colonial Raw Umber [EP.p];
 Colonial Red [EP.p];
 Colonial Violet [EP.p];
 Cote d'Azur Violet (Natural Light Caput Mortuum) [DS.w];
 Cyprus Burnt Umber [NP.p];
 Cyprus Burnt Umber Green [NP.p]; 
 Cyprus Burnt Umber Warm [NP.p];
 Cyprus Orange [WL.o];
 Cyprus Raw Umber Dark [NP.p];
 Cyprus Raw Umber Medium [NP.p];
 Cyprus Raw Umber Light [NP.p];
 Cyprus Umber;
 Dark Sienna [ROSS.o];
 Deep Ochre [OH.o];
 Euchrome;
 Elba Brown Ochre [KP.p];
 French Burnt Sienna [NP.p];
 French Raw Sienna [NP.p];
 French Raw Umber [NP.p];
 Gamboge Hue [MA.o(artis)];
 Genuine Cassel's Earth [KA]; 
 German Greenish Raw Umber [DS.w];
 German Umber [KA];
 Gold Ochre [BX.o.w];
 Green Ochre [WL.o];
 Green Umber [KA.p];
 Grüne Erde natur [SCH];
 Hematite [DS.o | NP.o.p];
 Hematite Burnt Scarlet [DV.o];
 Hematite Burnt Scarlet Genuine[DS.o.w**];
 Hematite Genuine[DS.w** | DV.o];
 Hematite Violet [DV.o];
 Hematite Violet Genuine[DS.w**];
 Iseo Brown [KP.p];
 Italian Burnt Sienna [DS.w | KP.p | NP.p | WL.o.p];
 Italian Brown Earth;
 Italian Earth [BX.o.w | OH.o.w | SQ.a];
 Italian Green Ochre [WL.p];
 Italian Raw Sienna [NP.p];
 Italian Raw Umber [WL.o];
 Jacaranta Brown;
 Mars Brown [RGH.o.p];
 Monte Amiata Natural;
 Monte Amiata Natural Sienna [DS.w];
 Mummy [NP.o];
 Mummy Bauxite [DS.w**];
 Mauve Umber [RGH.o]; 
 Native Earth;
 Natural Bohemian Green Earth [SCH.o(Mus)];
 Natural Brown Iron Oxide;
 Natural Burnt Sienna [SCH.o(Mus);
 Natural Burnt Umber [SCH.a.o(Mus)];
 Natural Earth;
 Natural Green Earth [SCH.a];
 Natural Iron-Manganese Oxide;
 Natural Iron Oxide;
 Ocher;
 Ochre [GEN] [OH.o.w];
 Old Holland Ochre [OH.o.w];
 Original Natural Earth;
 Pigment Brown 7;
 Pompeii Red [DS.w];
 Raw Brown;
 Raw Sienna [GEN | AS | BA.a.w | CAS.k | CR.a(jo) | DR.o.w | DS.a.i.o.w | DV.a.af.k.o.w | GB.o.o.p | GR.a.o.o.w.wo | JO.a | KA.p | LB.o | LK | LQ.a | MA.o.o.p.w.w | MG.a.g.o.w | MH.o | MR.o | MW.o.wo | OH.a.o.w | PF | RF.e | RGH.o.p | SCH.p.w | SE.p.t.w | SQ.a | TA.a.af | UT.a.o.w | WL.o.p | WN];
 Raw Sienna Dark [CR.ao.o];
 Raw Sienna Deep [MA.o.p | OH.o];
 Raw Sienna Natural Dark;
 Raw Sienna Light [MA.o.o(artis).p | OH.w]; 
 Raw Umber [GEN | AS | BA.a .o | CAS.k | CL | CR.a(jo).ao.o | DS.a.i.o.w | DR.a.a(s3hb).a(s3mb).o.o.w.w.t | DV.a.af.k.o.w | GB.o.o.p | GO.a.ab.af.ag.ao | GR.o | GU | HO.a.g.o.o.w.wo | JO.a | KA.ad.p | LB.o | LQ.a | MA.o.p.w.w | MG.a.g.o.w | MH.o | MR.o | MT | MW.o.wo | OH.a.o.w | PF.w | RF.e | RGH.o.p | ROSS.o | RT.o.w | SCH.a.o.w | SE.p.t.w | SV | SH.w | SQ.a | TA.a. | UT.a.o.w | WL.o.p | WN.a.a.o.wo.w.w.wp.wp(L)];
 Raw Umber Greenish [SCH.p];
 Raw Umber (Green Shade) [WN.o];
 Raw Umber Light [SCH.o(Mus) | WN.a.o.w];
 Raw Umber Natural [ DV.w];
 Raw Umber (Rare Earth) [GU];
 Red Brown [SE];
 Red Ochre [WL.o]; 
 Red Umber [MH.o | OH.o.w | WL.o];
 Sard Red Earth [MA.o];
 Sardinian Red Earth [MA.o];
 Sienna;
 Sicilian Brown;
 Spanish Earth [MH | WL.p];
 Spanish Earth (Purple Ochre) [WL.o];
 Terra d'Ombre;
 Terre d'Ombre Brulee (Brûlée) [LB.o];
 Terra Di Sienna;
 Terre de Sienne Brulee (Brûlée) [LB.o];
 Transparent Brown Iron Oxide[GO.a];
 Transparent Red Oxide [CL];
 Turkey Brown; 
 Turkey Umber [RGH.o | WL.o];
 Turkey Umber Greenish [RF.e];
 Umber [GEN | HO.w];
 Van Dijck Brown (hue) [BX]
 Van Dyck Brown (hue) [BXw | DS.o | GR | LK | MR.o];
 Van Dyke Brown (hue) [TA.a. | KA.p | MT];
 Velvet Brown;
 Violet Hematite [NP.o.p]
 Yavapai Genuine [DS.w];
 Yellow Ochre Burnt [ OH.o.w | WL.o]","77491 
 77492","Processed Inorganic;
 ""Ferrosoferric oxide produced from ores containing 25% manganese dioxide with a distinct composition as Fe2Oa.xMnO in varying proportions of clay. Classical names include such as raw umber, burnt umber, and Turkish umber."" (Ref. Paint and Coating Testing Manual: 14th ed. of the ASTM Gardner-Sward handbook / Joseph V. Koleske, ed.; p.212)
 Natural Brown Iron Oxide and/or Calcined natural Iron Oxide, usually with varying ratios of hydrated Iron Oxide to anhydrous Iron Oxide, along with Manganese Oxide, Aluminum, silica clays and other natural minerals depending on mine site.; Many brands substitute or confuse the synthetic pigment for the natural one, giving both the same Common names and C.I. names interchangeably, PBr7 is the name for the Natural Pigment & PBr6 is the synthetic one.
 LBNLPigment Database Spectral radiative properties;
 Burnt Sienna;
 Raw Sienna;
 Raw Umber
 How Umber is made at webexhibits.org;
 CAS 12713-03-0","Yellow brown to brown to dull red (see above);
 Staining to non-staining w/ weak to good tinting strength;
 Oil paints and watercolors using PBr6 and PBr 7 exist in almost any shade of yellow orange, red and violet brown to green brown, depending on the ratios of hydrated iron (yellower) to anhydrous iron (Redder), and other clays & minerals in the sample.",X,I,A,"Natural product can contain Manganese which acts as a drier in oils;
 Brown Iron Oxide (PBr7) watercolor swatches, brand comparisons & mixing info @ In Liquid Color, Youtube Channel
 * Lots more info on PBr6 and PBr-7 including lightfastness tests on branded watercolor paints by Bruce MacEvoy @ handprint.com. See Pigment Brown 7 @ Handprint.com;
  Lots more info on mummy & bauxite at the Natural Pigments website.
 ** more info on the Dan Smith PrimaTek™ artist paints and other minerals used for art pigments at the watercolor Handprint.com site. 
 ** Although most soluble mineral salts have been washed out during washing, processing & levigation. Natural forms may still have small traces of toxic minerals.
 ** Ingesting more than 1/2 gram (500mg.) of iron can induce cardiac collapse; such overdoses most commonly occur in children and may result in death within 24 hours.[101]; (Ref. Heavy Metals, Toxicity Info @ Wikipedia)
 Excess iron can cause the skin to take on a 'ruddy' appearance if ingested over a long period.
 Do not ingest;
 Avoid dust"
PBr8,Br,CIPIGMENT,8,Manganese Brown,"Black Manganese Oxide;
 Bog Manganese;
 Braunstein;
 Bruinsteen;
 Burnt Umber | Cyprus [KP.p];
 Burnt Umber light reddish-brown [KP.p];
 Burnt Umber Reddish [KP.p];
 Caledonian Brown;
 Cappagh Brown;
 Cassel Earth [SCH..p*?];
 Cassler/Van Dyke Brown [SCH.p*?]; 
 Cement Black;
 C.I. Pigment Brown 8;
 Mangaanbioxyde;
 Mangaandioxyde;
 Mangandioxid
 Manganese Binoxide;
 Manganese (biossido Di);
 Manganese (bioxyd De);
 Manganese Brown Intense [KP.p]
 Manganese Black;
 Manganese (diossido Di);
 Manganese (dioxyde De);
 Manganese(iv) Oxide;
 Manganese Peroxide;
 Manganese Superoxide;
 Manganese Brown;
 Manganese Brown Intense [KP.p];
 Manganese Dioxide;
 Manganite;
 Mineral Brown Black (Pyrolusite) [NP.p];
 Natural Brown Earth;
 Pigment Black 14;
 Pigment Brown 8;
 Pyrolusite;
 Pyrolusite Brown;
 Raw Umber [KP.p]
 Raw Umber dark [KP.p];
 Raw Umber | from Cyprus [KP.p];
 Sepia;
 Umber Reddish | OK 46 [KP.p];
 Van Dyck Brown (hue)*? [GR.o | SE.p | SCH.p | [UT.o]","77730
 77728","Inorganic;
 ""Manganic hydroxide, Mn(OH), together with manganese manganite."", ""Occurs naturally as manganite but the commercial product is usually synthetic."" (Ref Inorganic Colouring Matters, Color Index 3rd Ed.)
 Manganese hydroxide and oxides, the natural form usually also contains iron oxides and clays;
 Manganic oxide;
 Manganic hydroxide;
 Making pigments: Umbers at webexhibits.org;
 CAS 317-35-7
 CAS 1313-13-9",Reddish brown to brownish black,S/O,I,B,"* Sennelier's Van Dyck Brown dry pigment, Utrecht's Van Dyke Brown oil paint and Schminke's Cassel Earth oil color, may be NBr8 and just misprinted or mistakenly labeled as PBr8 (Pigment Brown 8}, They all claim to be genuine Van Dyke Brown which would actually be NBr8 (Natural Brown 8). They also claim moderate or average light fastness which is more consistent with Natural Brown 8. Pigment Brown 8 is highly lightfast.
 There seems to be a curtain amount of confusion about this pigment even among manufacturers and art suppliers.
 ** Any paint containing Manganese could require a PROP 65 label in CA."
