slug,colorCode,type,number,name,alternateNames,ciConstitutionNumber,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
NG1,G,CINATURAL,1,Chinese Green,"C.I. Natural Green 1;
 Charvin's Grun;
  Chinese Green; 
  Lokao;
  Natural Green 1",-,"Extract from the bark of Rhamnus tinctoria and R. dahurica, R. chlorophorm (globorus) and R. utilis treated with lime (Ref A dictionary of applied chemistry, Vol. 3, By Sir Thomas Edward Thorpe, 1912);
  ""the juice of some Chinese species of buckthorn. The berries are pressed and the juice mixed with alum and dried."" (Ref: - Dictionary of Chemicals and Raw Products Used in the Manufacture of Paints (1917)",Dark blueish green,X,IV,A,
NG2,G,CINATURAL,2,Sap Green,"Archin;
  Bladder Green;
  Buckthorn Lake;
  C.I. Natural Green 2; 
  Green Buckthorn Berries[KP.p];
  Natural Green 2;
  Natural Yellow 13;
  Pasta Green;
  Persian Lake; 
  Persian Berry Lake;
  Saftgrien;
  Saftgrün;
  Sap Green [KP.p];
  Verde di Veschia;
  Vert de Vessie;
  Verde Vejiga;
  Verde Vessie;
  
  
 see Stil de grain NY13 
  also compare NG1 Chinese Green","75440
  75700
  75695","Laked extract of ripe Buckthorn berries (Rhamnus catharticus), Stil de Grain (NY13) is made from unripe berries;
  Coloring constitutes of Sap Green:
  Chlorophyll (green);
  Emodin or Frangulaemodin (red-orange powder); 
  Xanthorhamnin, a glucoside extracted from Persian berries as a yellow crystalline powder, used as a dyestuff. (Ref dictionary.reference.com);
  According to The Organic Chemistry of Museum Objects by J.S. Mills; R. White, 1994, the color of sap green is almost entirely due to chlorophyll.
  ""Similar pigments, prepared from coffee-berries, and called Venetian and Emerald greens, are of a colder color, very fugitive, and equally defective as pigments"" (Reference Field's Chromatography, by George Field, 1841, pg.238, Printed version @ Amazon.com, see also the Free Art Books page of this site);
  Chlorophyll:
  CAS 1406-65-1;
  Emodin:
  CAS 518-82-1;
  xanthorhamnin:
  CAS 1324-63-6",Deep dull yellow green,T,IV,A,Replaced by many modern pigment mixes in most modern artist paints
PG1,G,CIPIGMENT,1,Pigment Green 1,"Brilliant Green;
  C.I. Pigment Green 1;
  Emerald Green (hue);
  Fanal Green D;
  Fanatone Bronze Green;
  Pigment Green 1",42040:1,"Triphenylmethane Phosphotungsto-
  molybdic acid salt;
  CAS 1325-75-3",Bright bluish green,X,III,,
PG2,G,CIPIGMENT,2,Fast Green Lake,"C.I. Pigment Green 2;
  Fast Green Lake;
  Permanent Green;
  Pigment Green 2","42040:1+
  42005:1","Phosphotungsto-
  molybdic acid salt of Triphenylmethane and Thiazole;
  Intimate mixture of PG1 and PY18; 
  CAS 1325-75-3;
  CAS 12213-69-3",Bright green,X,III,,
PG4,G,CIPIGMENT,4,3606 Fast Green Lake,"C.I. Pigment Green 4;
  Fanatone Green M;
  Fast Green Lake;
  Malachite Green (hue);
  Pigment Green 4",42000:2,"Triphenylmethane Phosphotungsto-
  molybdic acid salt;
  CAS 61725-50-6",Bright blue shade green,X,III,,
PG7,G,CIPIGMENT,7,Phthalocyanine Green BS,"Alizarin Green Lake;
  Antique Jasper Green [HO.w(ant)];
  Armor Green [LB.av.o];
  Aubusson Green;
  Brilliant Green;
  Brilliant Green Deep [MA.a.a];
 Brilliant Green Light [MA.];
  Blockx Green [BX.o.w];
  Bright Aqua Green [LQ.a];
  Chlorinated Copper Phthalocyanine;
  C.I. Pigment Green 7;
  Cupric Green Deep [MA.o.w];
  Cyan Green;
  Cyanine Green [PF.w];
 Dark Green Medium [BA.ag];
  Emerald Green (hue) [SCH.a];
 Emerald Green Substitute [SE.p];
  Endurophthal Green B;
 Hazard Green [MA.o(Oilio)];
  Heliogen® Green [KP.p];
  Leaf Green;
  Monestial Green [DR];
  Monestial Green (Phthalo) [DR];
  Cinnabar Green (hue);
  Helio Green Bluish [SCH.g];
  Helio Green Deep [SCH.o(Mus];
  Heliogen® Green K 8730;
  Hooker's Green Hue [UT.a];
  Intense Green;
  Monastral Green [DR.o.t.];
  Mueller's Green Light[KP.p];
  Mueller's Green Medium[KP.p];
  Opaque. Viridian (hue) [HO.af.];
  Oriental Green [HO.a.o];
  Permanent Green Deep;
  Phthalo Emerald [PF.o];
  Phthalo Green [GEN | AS | BA.a .o.w | CAS.k | CL | CR.a(jo).ao.o |DR.a.a.a(s3hb).a(s3mb).o.w | DV.a.af.k.o.w | GB.o.o | GO.ab | GR.w?* | HO.wo | JO.a | KA.p | KP.p | MA.a.o.p.w | MG.g.w | MW.o | RGH.o.p | ROSS.o | RT.o.w.wo | SCH.o.p.w | SQ.a | TA.a.af | UT.w | WL.o.p | WN.k];
  Phthalo Green Blue [GU.pd | RT.o];
  Phthalo Green (Blue Shade) [DS.ad.i.o.w | GO.a.ab.af.ag.ao | GR.o.o.w.w.wo?* | LQ.a | MW.wo | OH.a | SCH.a | SE.a | UT.a.o | WN.a.wo];
  Phthalo Green (BS) [DS.ad.i.o.w];
 Phthalo Green B.S. [GO.a.ab.af.ag.ao];
 Phtalo Viridian [CH];
  Phthalo Green Cool [SE.o];
  Phthalo Green Dark [KP.p];
  Phthalo Green Deep [LA.a];
  Pthalo Green Lake [MH.o};
  Phthalocyanine Green [GEN | BA.a | KA.ad.o | MG.a.o | SE.p];
  Phthalocyanine Green BS [GEN];
  Phthalocyanine Green Lake;
  Pigment Green 7;
  Pigment Green 42;
  Scheveningen Green Deep [OH.o.w];
  Shiva Green [SV];
  Rembrandt Green [RT];
  Richeson Green [SQ.a];
  Sap Green (hue) [HO.o];
  Thalo Green [BR | GR.w];
  Thalo Green (Blue Shade) [GR.o.o.w.w.wo];
 Thalo Green Blue [GU.pd]
  Transparent Green [HO.o];
 Transparent Phthalo Green BS [GO.ab];
 Transparent Phthalo Green Blue Shade [GO.ab]; 
  Viridian (hue) [CL | MG.a | MR.o | SE.o.os | SH.w];
  Viridian Green (hue) [HO.af | DV.a | MR.o];
  Viridian Hue [BA.o | DR.o.w | HO.o.w.wo | MA.g | UT.a | WN.o.w];
  Viridian Hue Permanent [LQ.a];
  Winsor Green [WN.o.g];
  Winsor Green (Blue Shade) [WN.w.wp.wp(L)];",74260,"Polyclorinated Copper Phthalocyanine;
 Made by chlorination of Copper Phthalocyanine in the presence of a catalyst.
 Chemical Prop. @ PubChem Chemical Database
  LBNLPigment Database Spectral radiative properties;
  Phthalo Green (i);
  Phthalo Green (ii);
  
 C32H3Cl13CuN8 to 
 C32HCl15CuN8; 
 C32H16CuN8Cl15;
  
  C32Br6Cl10CuN8 (PG36)
  
  CAS 1328-53-6
 CAS 14832-14-5
 EC 238-897-8","Deep green blue shade;
 Heavily staining w/ over powering tinting strength, unless extended.
 † Darkens, Dulls, Fades; Can 'bronze' over (develope a iridescent sheen). These effects are inherent to their light fastness and may take decades or centuries to have any noticeable effects.",T,I,A,"introduced in 1935;
 Extremely strong in tints; Artist paint makers usually add fillers to help control this unusually strong color.
 Same pigment as Pigment Green 42?
 Can ""bronze"" over in masstone, usually additives help prevent this.
 Phthalocyanines Have a tendency to flocculate (granulate) extremely, paint makers usually add additives like Surfactants & flow improvers to counteract this, as a result they usually are non-granulating in watercolors.
 Rated excellent in in all brands of watercolors in tests by Bruce MacEvoy @ handprint.com. See Pigment Green 7 @ Handprint.com;"
PG8,G,CIPIGMENT,8,Nitroso Green,"C.I. Pigment Green 8;
  Green MC [EP.p];
 Green Pantelleria [MA.o(Med)];
  Green Sap [MR.o];
  Hooker's Green (hue*) [GU.p.pd | HO.a | UT.wd];
  Ichomine Olive Green;
  Nitroso Green ST;
  Olive Green [LB.o];
  Pigment Green 8;
  Pigment Green B;
 Reset Green [MA.o(HD)];
  Sap Green [MA.g | MR.o | PF.o.o | RT.a];",10006,"Synthetic Organic Azo;
  PG-8 is the bisufite complex of 1-nitroso-2-naphthol reacted with ferrous sulfate and then with sodium hydroxide (Ref. Paint and Coating Testing Manual: 14th ed. of the Gardner-Sward handbook/Joseph V. Koleske, ed.1995; p.204)
  Ferrous complex of 1-nitroso-2-naphthol and 1- nitroso-2-naphthol-3-carboxylic acid (Ref: Paint Film Components, National Environmental Health Monographs by M van Alphen, 1998, p141);
 Chem. info @ PubChem
 C30H18FeN3O6Na
  
  Ferrous beta naphthol;
  Nitroso Iron complex;
  CAS 16143-80-9
 CAS 15635-53-7
 EC 240-299-7","Slightly dull Yellowish to blueish dark green;
 Staining w/ good tinting strength",S/T,III,B,"No longer in production was one of the oldest chelate-based pigments;
 Very beautiful rich deep dark green color, in hue, it makes an excellent substitute for hookers green*, unfortunately it has very marginal lightfastness; 
 Affected by acids.;
  * Traditional pigment Hooker's green was a mixture of Prussian Blue and Gamboge;
  ** ""permanence and lightfastness of Hooker’s Green (PG8) varies by brand"" -Blick Art Materials Ref.
 On a tube of the discontinued Utrecht watercolor ""Hookers Green"" PG-8, it states a light fastness of 1, their highest rating.
 Rated only fair to poor by the ASTM and Bruce MacEvoy in watercolor @ handprint.com. See PG-8 @ Handprint.com;
  ***depends on manufacture, see Blick Art Materials Ref.
 Generally thought to be safe as it is used in clothing, leather, printing inks, crayons, colored chalk (Ref. Food Additives World)."
PG10,G,CIPIGMENT,10,Nickel Azo Yellow,"Australian Green Gold [AS.wd]
 C.I. Pigment Green 10;
  Gold Bronze;
  Green Gold [DS.wd | WL.o | WNd];
  Green Gold Bronze;
  Indian Yellow (Substitute);
  Nickel Azo [GU.pd];
  Nickel Azo Dark [GU.pd];
  Nickel Azo Xtra [GUd];
  Nickel Azo Yellow;
  Nickel Complex Azo;
  Nickel Monazo Yellow;
  Pale Gold Bronze;
  Pigment Green 10;
  Rich Gold Bronze",12775,"Synthetic organic;
 Nickel Chelated Azo complex;
  Nickel complex of p-chloroaniline coupled with 2,4-quinolinediol; 
  Powdered Nickel Chelated Azo; 68-92% copper; 6-31% zinc; 0.25-10% aluminum; 
  CAS 51931-46-5","Dark to yellowish green
 heavily staining w/ only fair tinting strength
 † Fades (over a long long time)",T,I,B,"Invented in 1905, has seen little artistic use;
 No longer in production;
 Daniel smith & Art Spectrum discontinued PG 10 in their watercolor lines in 2000 & 2005 respectively.
 * Any paint containing nickel requires a PROP 65 warning label. 
 Probably totally safe in normal artist use. Keep your mouth off your brushes and don't lick your wet paintings."
PG13,G,CIPIGMENT,13,Phthalochrome Green,"Chromastral Green H-M;
  C.I. Pigment Green 13;
  Delta Phthalochrome Green D661;
  Mineral Green;
  Pigment Green 13","74200+
  77603","Inorganic; Phthalocyanine;
  CAS 148092-61-9",Yellowish green to middle green,O,I,B,
PG14,G,CIPIGMENT,14,Cadmium Green,"Cadmium Green [ GB.o.o | HO.o? | RF.e.os?* | WL.o?*];
  Cadmium Green Dark [KP.p];
  Cadmium Green Deep [HO.o? | OH.o.w?*];
  Cadmium Green Light [HO.o? | KP.p | WL.o?*];
  Cadmium Green Pale [HO.o.w?* | RF.e ?* | WN.o?*];
  Cadmium Sulfide Chromoxyd;
  Cadmium Chrome Oxide;
  C.I. Pigment Green 14;
 Permanent Green;
  Pigment Green 14;
 Verde de cadmio (Esp.);
 Vert de cadmium (Fr.);
 Verde bario (It.);
 Verde de cádmio (Port.);","77199+
  77346","Inorganic;
  Intimate mixture* of varying composition 
  According to the Color Index 3rd. ed. 1997: 
 Pigment Green 14 is co-precipitated Cadmium sulfide CdS (Cadmium Yellow, PY37, PY35) and Cobaltous aluminate (Cobalt Blue, PB28, PB35, PG36, Colbalt Green PG26, PG50) of varying composition 4CoO·3Al2O3 **(Ref: Colour Index Third Ed., published by SDC, AATCC, CII, 1997);
 ""Cadmium green (PG14) is a chemically fused mixture of cadmium yellow (PY35) and cobalt aluminum oxide (PB28)"", this color can be made in the studio by simply mixing the 2 components. (Ref Handprint.com, Cadmiums);
 ""Cadmium Green"" is a co-precipitated hydrated oxide of chromium (Viridian, PG18) with cadmium sulfide (PY37, PY35);
 (Ref Pigment Compendium, by Nicholas Eastaugh, Valentine Walsh, Tracey Chaplin and Ruth Siddall, Copyright © 2008, p.74);
  (Ref: Boston Fine Arts, CAMEO Materials Database);
 Cadmium Green:
 a pigment used in painting, consisting of a mixture of hydrated oxide of chromium with cadmium sulfide, and characterized by its strong green color and slow drying rate. (Ref: Random House Unabridged Dictionary, Copyright © 1997, by Random House, Inc.);
  
  CAS 1306-23-6",Varied Greens depending on exact ratio of components,O,I,B,"?* there appears to be a few different mixtures that can be historically considered ""Cadmium Green"", although the Color Index only lists one. Some artist oil paints that are labeled Cadmium Green are mixtures of PG18 (Viridian) and PY37 or PY35 (Cadmium Yellow), in those cases they could rightly be named ""Cadmium Green"" according to Heaton (1928) and Kittel (1953), but according to the Color Index, Pigment Green 14 (Cadmium Green) is a mixture of ""Cadmium sulfide (Cadmium Yellow) and Cobaltous aluminate (Cobalt Blue) of ""varied"" composition"".
 
 (Ref Pigment Compendium, by Nicholas Eastaugh, Valentine Walsh, Tracey Chaplin and Ruth Siddall, Copyright © 2008, p.74);
 
 (Ref: Colour Index Third Ed., published by SDC, AATCC, CII, 1997);
  **Many newer mixtures named ""Cadmium Green"" still use cadmium yellow as a base but substitute Phthalocyanine Green PG7, Ultramarine blue PB29, or Prussian Blue PB27 instead of using Viridian or Cobalt Blue. It appears that Cadmium Green has become a generic term that means any green color made with cadmium yellow as the base."
