name,manufacturer
Aquarius,Roman Szmal
Aquafine,Daler Rowney
Extra Fine,Daniel Smith
PrimaTek,Daniel Smith
Luminescent,Daniel Smith
Pearlescent,Finetec
Iridescent,Finetec
Finest,Grumbacher
Academy,Grumbacher
Gansai Tambi,Kuretake
Gold Class,Mijello MISSION
White Class,Mijello MISSION
Classic Watercolours,Old Holland
Gallery,Rosa
Studio,Rosa
Koi,Sakura
PWC Extra Fine Water Colors,ShinHan
Professional Water Color,ShinHan
SHAMI,ShinHan
Cotman,Winsor & Newton
Professional Water Color,Winsor & Newton
St. Petersburg / White Nights,Yarka
