slug,colorCode,type,number,name,alternateNames,ciConstitutionNumber,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
NO2,O,CINATURAL,2,Kamala,"Kamala;
 Natural Orange 2;
 Resina Kamala [KP.p]",,From the fruit of the plant Mallotus philippensis,Brilliant yellow to red orange,T,III,B,
NO4,O,CINATURAL,4,Annatto,"Annatto;
 Annatto extract;
 C.I. Natural
 Orange 4;
 Natural Orange 4;",75120,"Extract of the seeds of the plant Bixa orellana; Norbiksiini annatto; Primary coloring due to bixin and norbixin; A bright orange lake is prepared by precipitating annatto on alumina trihydrate.
 Annatto- A natural orange dye obtained from the lipstick plant which is a small tree, Bixa orellana, native to Central and South America. (Ref at Boston Fine Arts CAMEO Database);
 CAS 8015-67-6",Bright Orange brown to golden yellow,T,III,A,
NO5,O,CINATURAL,5,Carajurin,"Carajurin;
 Carucru;
 Chica;
 C.I. Natural Orange 5;
 Natural Orange 5",75180,Xanthone Carajurin; Extract from the leaves of Bignonia Chica,"Red, Orange Yellow",T,III,A,
NO6,O,CINATURAL,6,Henna,"C.I. Natural Orange 6;
 Henna;
 Lawsone;
 Natural Orange 6",75486,"Lawsonia Inermis; 
 2- hydroxy-1, 4- naphthoquinone;
 lawsone:
 CAS 83-72-7;",Yellow brown,T,III,A,
PO1,O,CIPIGMENT,1,Hansa Orange,"C.I. Pigment Orange 1;
 Dinitroaniline orange;
 Hansa Yellow 3R;
 Pigment Orange 1;
 Orthonitroaniline Orange",11725,"Monoazo;
 Dinitroaniline; orthonitroaniline;
 mono-nitro compound, specifically ortho-substituted
 CAS 6371-96-6",Bright yellowish orange,X,NR,A,
PO2,O,CIPIGMENT,2,Pigment Orange 2,"C.I. Pigment Orange 2;
 Hansa Orange RN;
 Federal Orange 1002;
 Kromon Azo Orange;
 Orthonitraniline Orange;
 Orthotone Orange Toner RA 5630;
 Ozark Orange X 1481;
 Permanent Orange;
 Pigment Orange 2",12060,"Monoazo;
 Orthonitraniline;
 Naphthol;
 Mono-nitro compound, specifically ortho-substituted;
 Prepared by coupling o-nitroaniline with -naphthol (Ref Pigment Compendium, Copyright © 2008, p.38)
 2-Naphthalenol,1-[(2-nitrophenyl)azo]- (9CI); 2-Naphthol, 1-(o-nitrophenylazo)- (6CI);
 1-[(2-Nitrophenyl)azo]-2-naphthol;1-[(o-Nitrophenyl)azo]-2-naphtho
  
 NSC 65821
 CAS 6410-09-9",Bright reddish orange,X,NR,A,
PO3,O,CIPIGMENT,3,Hansa Orange,"C.I. Pigment Orange 3; 
 Pigment Orange 3; 
 Orthonitroaniline Orange",12105,"Monoazo; Orthonitroaniline; 
 (Ref GuideChem.com);
 (Ref from dyestuffintermediates.com)
 CAS 6410-15-7",Brite reddish orange,X,NR,A,
PO5,O,CIPIGMENT,5,Hansa Orange RN,"Azo Orange;
 C.I. Pigment Orange 5;
 D & C Orange No. 17;
 D.N.A. [GU];
 Dinitraniline Orange [KA.p];
 Dinitroaniline Orange;
 Dinitroaniline Red;
 Dinitronialine Orange [KA.ad]; 
 DNA Orange [GU.ad];
 DNA Orange RN-B;
 Firewall Red [MA.o(HD)];
 Hansa Orange;
 Oasis Orange;
 Permanent Orange [KA.o];
 PERMANENT ORANGE 5;
 Permanent Red GG;
 Permanent Red Light [LKd]; 
 Permanent Red Orange [WL.o];
 Pigment Orange 5;
 Seville Red [MA.o(Med)];
 Studio Orange [KP.p];
 Vermilion (hue) [CR.ao.o];
 Vermilion Orange [CR]",12075,"Synthetic Organic;
 Monoazo; 2-Naphthalenol; 1-[(2;4-dinitrophenyl) azo;
 Dinitroaniline;
 Orthonitroaniline;
 Magruder® Pigments for imagination ""Oasis Orange"" (PO5) technical bulletin
  
 C16H10N4O5
  
 CAS 3468-63-1
 EC 222-429-4","Bright reddish orange;
 Staining w/ med. tinting strength
 † Fades",S/T,NR,B,
PO13,O,CIPIGMENT,13,Benzidine Orange,"Brilliant Orange [HO.g];
 Cadmium Red Orange Hue [SE.o];
 C.I. Pigment Orange 13;
 Diarylide Orange;
 Disazo Orange;
 FAST ORANGE RG;
 Vibfast Orange 4051;
 Orange [AS | HO.ag];
 Orange Lake [MH];
 Orange Lake Light [WN.g]; 
 Orange no.204;
 Permanent Orange G;
 Persian Orange Light [LB.o];
 Pigment Orange 13;
 Pyrazolone Orange;
 Red Orange [SCH];
 Spec Orange [AS];
 Vibfast Orange 4051",21110,"Synthetic Organic;
 Dichlorobenzidine; 
 Pyrazolone; 
 Disazopyrazolone;
 CAS 3520-72-7","Bright yellow orange;
 Good tinting strength",S/T,NR,A,
PO16,O,CIPIGMENT,16,Benzidine Orange,"Benzidine Orange R;
 C.I. Pigment Orange 13;
 Dianisidine Orange;
 Dianisidine Orange 2915;
 Fast Orange RDN;
 Orange (Turner);
 Orange Lake Light;
 Pigment Orange 16",21160,"Synthetic Organic;
 Disazopyrazolone;
 (Ref: Lansco Pigment tech specs);
 CAS 6505-28-8",Bright yellowish thru reddish orange,S/O,IV,A,
PO17,O,CIPIGMENT,17,Persian Orange,"C.I. Pigment Orange 17; 
 Dainichi Naphthol Orange;
 
 Eljon Orange P;
 
 Isol Orange GR;
 
 Isol Orange GRT;
 Lake Orange;
 
 Lake Orange GR;
 
 Ohio Orange;
 
 Perca Orange GR;
 
 Persian Orange;
 Pigment Orange G;
 
 Pigment Orange 17;
 
 VulcafixOrange R;
 
 Vulcafor Orange P;
 
 Vulcol Orange GR",15510,"Synthetic Organic;
 Monoazo; 
 Barium lake of azomethine dye;
 CAS 15782-04-4",Bright orange to reddish,X,II,A,
PO17:1,O,CIPIGMENT,17.1,Persian Orange,"C.I. Pigment Orange 17:1;
 Persian Orange;
 Pigment Orange 17:1",15510:1,"Synthetic Organic;
 Monoazo; 
 Barium lake of an azo dye",Bright reddish orange,X,II,A,
