type,name,number,colorCode,slug,hex
CINATURAL,Indigo,1,B,NB1,#668bae
CIPIGMENT,Victoria Blue,1,B,PB1,#668bae
CIPIGMENT,Phthalo Blue,15,B,PB15,#668bae
CIPIGMENT,Phthalo Turquoise,16,B,PB16,#668bae
CIPIGMENT,Prussian Blue,27,B,PB27,#668bae
CIPIGMENT,Cobalt Blue,28,B,PB28,#668bae
CIPIGMENT,French Ultramarine,29,B,PB29,#668bae
CIPIGMENT,Cerulean Blue,35,B,PB35,#668bae
CIPIGMENT,Cobalt Chromite,36,B,PB36,#668bae
CIPIGMENT,Indanthrone Blue,60,B,PB60,#668bae
CIPIGMENT,Cobalt Zinc Aluminate Blue,72,B,PB72,#668bae
CIPIGMENT,Cobalt Zinc Silicate Blue,74,B,PB74,#668bae
CIPIGMENT,Mayan Dark Blue,82,B,PB82,#668bae
CIPIGMENT,Aniline Black,1,Bk,PBk1,#2a2930
CIPIGMENT,Shungite,6,Bk,PBk6,#2a2930
CIPIGMENT,Lamp black,7,Bk,PBk7,#2a2930
CIPIGMENT,Vine Black,8,Bk,PBk8,#2a2930
CIPIGMENT,Bone Black,9,Bk,PBk9,#2a2930
CIPIGMENT,Graphite,10,Bk,PBk10,#2a2930
CIPIGMENT,Mars Black,11,Bk,PBk11,#2a2930
CIPIGMENT,Gold Brown,12,Bk,PBk12,#2a2930
CIPIGMENT,Ardoise Grey,19,Bk,PBk19,#2a2930
CIPIGMENT,Manganese Ferrite Black,26,Bk,PBk26,#2a2930
CIPIGMENT,Perylene Green,31,Bk,PBk31,#2a2930
CIPIGMENT,Perylene Green (Deep),32,Bk,PBk32,#2a2930
CINATURAL,Vandyke Brown,8,Br,NBr8,#5e452a
CIPIGMENT,Iron Oxide Hydroxide Brown,6,Br,PBr6,#5e452a
CIPIGMENT,Brown Iron Oxide,7,Br,PBr7,#5e452a
CIPIGMENT,Lunar Earth,11,Br,PBr11,#5e452a
CIPIGMENT,Transparent Brown,23,Br,PBr23,#5e452a
CIPIGMENT,Chrome Antimony Titanate,24,Br,PBr24,#5e452a
CIPIGMENT,Azo Brown,25,Br,PBr25,#5e452a
CIPIGMENT,Mahogany Brown,33,Br,PBr33,#5e452a
CIPIGMENT,Transparent Brown,41,Br,PBr41,#5e452a
CIPIGMENT,Phthalo Green (Blue Shade),7,G,PG7,#65944d
CIPIGMENT,Nitroso Green/Hooker's Green,8,G,PG8,#65944d
CIPIGMENT,Chrome Oxide Green,17,G,PG17,#65944d
CIPIGMENT,Viridian,18,G,PG18,#65944d
CIPIGMENT,Cobalt Green,19,G,PG19,#65944d
CIPIGMENT,Green Earth,23,G,PG23,#65944d
CIPIGMENT,Cobalt Chromite Green,26,G,PG26,#65944d
CIPIGMENT,Cobalt Green Deep,27,G,PG27,#65944d
CIPIGMENT,Phthalo Green (Yellow Shade),36,G,PG36,#65944d
