slug,colorCode,type,number,name,alternateNames,ciConstitutionNumber,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
NR1,R,CINATURAL,1,Sophoretin,"C.I. Natural Red 1;
 Meletin;
 Natural Red 1;
 Sophoretin",,"Laked extract of Toon or Indian mahogany tree berries;
 CAS 117-39-5",,X,X,A,
NR2,R,CINATURAL,2,Monascus Red,"C.I. Natural Red 12;
 Monascus Red;
 Natural Red 2",,"Monascus (red fermented rice);
 Monascus purpureus fungus",Dark orange red to purple,T,III,A,
NR3,R,CINATURAL,3,Kermes,"Alkermes;
 C.I. Natural Red 3;
 Crimson;
 Grana;
 Grain Lake;
 Hysginum;
 Kermen;
 Kermen vermilio;
 Kermes;
 Kermes Lake;
 Kermesic acid;
 Natural Red 3;
 Scarlet;
 Venetian scarlet;
 Vermiculum",75460,"Kermesic acid;
 Laked extract from the bodies of the insect Kermes ilices (also known as Coccus ilicis). It is chemically very similar to carmine (NR3);
 CAS 476-35-7","Yellow red;
 †Fades",T,X,A,Mentioned in the Bible book of Genesis (38:28) as scarlet or crimson (Ref)
NR4,R,CINATURAL,4,Cochineal,"Burnt Carmine;
 Carmine [WNd];
 Carmine Extra-Fine Genuine [SE];
 Carmine (genuine) [SE.w];
 Carmine Lake;
 Carmine Naccarat [KP.p];
 C.I. Natural Red 4; 
 Cocciniglia;
 Coccus Cacti Extract;
 Cochinilla;
 Cochenille [KP.p];
 Cochineal [NP.p];
 Cochineal Extract;
 Cochineal Tincture; 
 Cochineal Lake; 
 Crimson Lake;
 Florentine Lake;
 Grana;
 Grana Cochinilla;
 Hamburgh Lake;
 Indian Purple;
 Natural Red 4;
 Parisian Lake;
 Sanred 1;
 Venetian Lake;
 Viennese Lake;
 Zacatillo",75470,"Laked extract from dried bodies of the female cochineal insect (Coccus cacti); 
 Color mostly from carminic acid, kermes acid and laccainic acid D.;
 How Carmine is made at webexhibits.org
 Cochineal: CAS 1343-78-8
 Carmine: CAS 1390-65-4
 Carminic Acid: CAS 1260-17-9","Dark deep to mid red;
 Heavily staining w/ good tinting strength
 † Fades
 Color varies depending on the base metal the dye is fixed on.",T,V,A,"May be effected by very basic or very acidic conditions (Ref. Natural Pigments)
  Indian purple is carmine precipitated on a copper base (Ref. Natural Pigments);
 ** ASTM rated V (very poor) in watercolors, rated the same, at handprint. see NR-4 by Bruce MacEvoy @ handprint.com"
NR6,R,CINATURAL,6,Chayroot,"Alizarin;
 Chayroot;
 C.I. Natural Red 6;
 Madder;
 Natural Red 6",,"Root of Hedyotis Umbellata;
 alizarin:
 CAS 72-48-0;
 Rubierythric Acid:
 CAS 152-84-1",Deep bluish red,X,NR,A,
NR8,R,CINATURAL,8,Alizarin Crimson,"Aal;
 Alizarin Carmine;
 Alizarin Crimson;
 Alizarin Purple;
 Alizarin Purpurin;
 Alizarin Red;
 Anthraquinone Purple;
 C.I. Natural Red 8;
 Krapplack;
 Laque de Garance;
 Natural Red 8;
 Natural Rose Madder;
 Madder Lake [KP.p];
 Madder Lake, Brown [KP.p];
 Madder Lake, Carmesine Red [KP.p];
 Madder Lake, dark red [KP.p];
 Madder Lake, Hazelnut [KP.p]; 
 Madder Lake HOFF [KP.p];
 Madder Lake, Orange [KP.p];
 Madder Lake Perego, dark [KP.p];
 Madder Lake Perego, pale [KP.p];
 Madder Lake, Salmon [KP.p];
 Madder Lake, violet [KP.p];
 Madder Lake, violet-brown [KP.p];
 Natural Red 8;
 Turkey Madder;
 Compare NR9 and PR83","58205
 75330
 75410
 75340","Rubia tinctorium; 
 Garancine (Pigment Ref); 
 Anthraquinone Lake;
 Making pigments: Madder Lake at webexhibits.org
 alizarin:
 CAS 72-48-0;
 rubiadin:
 CAS 117-02-2;
 purpuroxanthin-carboxylic acid:
 CAS 478-06-8;
 xanthopurpurin:
 CAS 518-83-2 
 purpurin:
 CAS 81-54-9
 pseudopurpurin:
 CAS 476-41-5",Deep violet to bluish red to cardinal red to reddish orange*,T,NR,A,* Color depends on method of manufacture and the metal salt the madder is fixed on. Tin salts giving more yellowish shades.
NR9,R,CINATURAL,9,Madder Lake,"Alizarin;
 Alizarin Crimson;
 Alizarin Red;
 Alizarine;
 Adrianople Red;
 Alsatian madder;
 Avignon madder;
 C.I. Natural Red 9;
 Cory’s Brown Madder;
 Cory’s Yellow Madder;
 Dutch madder;
 Dyer's Root;
 Extra Purple Madder [WNd];
 Field’s Purple;
 Garancia;
 Garancine;
 Garanza;
 Granzuolli;
 Krapp;
 Krapplack;
 Lacca di Robbia;
 Laca de Rubia;
 Lake of Natural Madder; 
 Laque de Garance;
 Levant Red;
 Madder Carmine;
 Madder Lake [KP.p];
 Madder Lake, yellowish [KP.p];
 Madder Orange;
 Madder Purple;
 Madder Root [NP.p];
 Madder Yellow;
 Natural Madder;
 Natural Red 9;
 Orange Lake;
 Orange Madder;
 Pink Madder;
 Purpurin;
 Purple Rubiate;
 Rose Doré [WN.o];
 Rose Madder [BR];
 Rose Madder Deep [WNd];
 Rose Madder Genuine [DS.w | WN.o.w.wp.wp(L)];
 Rubia Tinctorum;
 Ruben’s Madder;
 Steiner lake;
 Turkey Red;
 Turkey Red Madder;
 Warantia, 
 Waranciam;
 Warencia;
 Waranz;
 Compare NR8 and PR83",75330; 75420,"Lake of the extract from Madder roots (Rubia tinctorium), usually precipitated on aluminium hydrate or Tin; 
 (Madder Ref at Boston Fine Arts);
 Alizarin (1;2-dihydroxy anthraquinone);
 Purpurin (1;2;4-trihydroxy anthraquinone):
 Making pigments: Madder Lake at webexhibits.org
 CAS 71538-26-6;
 alizarin:
 CAS 72-48-0;
 pseudopurpurin:
 CAS 476-41-5","Deep blueish pink red to yellowish red*
 Weak tinting strength
 † Fades, Dulls, Hue shift towards blueish or yellowish",T,IV,A,"* color depends on method of manufacture and the metal salt the madder is fixed on, see PR-83.
 ** Rated very good in oils by the ASTM. That seems a little too good even in oil, as most artists' agree that the pigment is fugitive and the natural pigment is said to have even lower light fastness than synthetic Alizarin Crimson, which would make it very fugitive indeed. ...It has held up in some old manuscripts & paintings, though.
 ASTM rated IV (poor) in watercolors, rated the same, at handprint. see NR-9 by Bruce MacEvoy @ handprint.com"
NR10,R,CINATURAL,10,Alizarin,"Alizarin;
 C.I. Natural Red 10;
 Madder;
 Natural Red 10",75330,"alizarin:
 CAS 72-48-0;
 Rubierythric Acid:
 CAS 152-84-1",Deep bluish red,T,III,A,
NR11,R,CINATURAL,11,Alizarin,"Alizarin;
 C.I. Natural Red 11;
 Madder;
 Natural Red 11",75330,"alizarin:
 CAS 72-48-0;
 Rubierythric Acid:
 CAS 152-84-1",Deep bluish red,T,III,A,
NR12,R,CINATURAL,12,Alizarin,"Alizarin;
 C.I. Natural Red 12;
 Madder;
 Natural Red 12",75330,"alizarin:
 CAS 72-48-0;
 Rubierythric Acid:
 CAS 152-84-1",Deep bluish red,T,III,A,
