manufacturer,name,hex,lineId,pigmentSlugs,lightfastRating,transparencyRating,stainingRatingId,granulationRatingId
Art Spectrum,Antwerp Blue,#024399,,PB27,I,T,X,X
Art Spectrum,Aureolin,#BB8C2E,,PY40,II,T,4,N
Art Spectrum,Australian Green Gold,#82b60b,,PY129|PG7,I,T,X,X
Art Spectrum,Australian Grey,#f0b095,,PBr7|PY42,I,O,1,Y
Art Spectrum,Australian Leaf Green Dark,#044703,,PY129|PG7|PR175|PY83,I,S/T,X,X
Art Spectrum,Australian Red Gold,#f1531b,,PY83|PR101|PV19,I,T,1,Y
Art Spectrum,Australian Turquoise,#44f9b0,,PG50,I,O,1,Y
Art Spectrum,Brilliant Red,#fd3a81,,PR170,II,S/T,X,X
Art Spectrum,Burnt Sienna Hue,#c06842,,PR101,I,S/T,X,X
Art Spectrum,Burnt Sienna Natural,#c5734c,,PBr7,I,T,X,Y
Art Spectrum,Burnt Umber,#5A3C3A,,PBr7|PY42|PR101,I,S/T,1,Y
Art Spectrum,Cadmium Deep Red,#e20a1b,,PR108,I,O,X,X
Art Spectrum,Cadmium Orange,#f76538,,PY37|PO20,I,O,X,X
Art Spectrum,Cadmium Red,#f12a47,,PR108,I,O,X,X
Art Spectrum,Cadmium Yellow,#fde21d,,PY37,I,O,4,N
Art Spectrum,Cadmium Yellow Deep,#D89328,,PO20,I,O,4,N
Art Spectrum,Cadmium Yellow Pale,#fcee1c,,PY35,I,O,4,N
Art Spectrum,Cerulean Blue,#0F8AC6,,PB35,I,S/T,1,Y
Art Spectrum,Chinese White,#FFFFFF,,PW4,I,O,X,X
Art Spectrum,Cobalt Blue,#2280C2,,PB28,I,S/T,X,X
Art Spectrum,Cobalt Violet,#d71bf3,,PV14,I,T,1,Y
Art Spectrum,Coral,#f2201f,,PR170|PO36,II,S/T,X,X
Art Spectrum,Flinders Blue (Mineral Violet),#760be7,,PV16,I,S/T,1,Y
Art Spectrum,Flinders Red Violet,#8e03a8,,PV19,I,S/T,X,X
Art Spectrum,French Ultramarine,#06329f,,PB29,I,S/T,1,Y
Art Spectrum,Hooker's Green Permanent,#02be02,,PG7|PY42,I,S/T,4,N
Art Spectrum,Indian Red,#950113,,PR101,I,O,X,X
Art Spectrum,Indigo Blue,#061931,,PB29|PBk6|PB15:3,II,S/T,4,N
