manufacturer,name,hex,lineId,pigmentSlugs,lightfastRatingId,transparencyRatingId,stainingRatingId,granulationRatingId,manufacturerDescription,url
Blick,Alizarin Crimson,#75121B,,PR83,6,,,,,https://www.dickblick.com/items/blick-artists-watercolor-alizarin-crimson-14-ml-tube/
Blick,Alizarin Rose,#BB0031,,PV19,3,2,,,,https://www.dickblick.com/items/blick-artists-watercolor-alizarin-rose-14-ml-tube/
Blick,Aureolin Yellow,#F8EB00,,PY151,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-aureolin-yellow-14-ml-tube/
Blick,Bismuth Yellow,#F8ED33,,PY184,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-bismuth-yellow-14-ml-tube/
Blick,Brown Madder,#9A2B25,,PR188|PR179|PV19,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-brown-madder-14-ml-tube/
Blick,Burnt Sienna,#73311F,,PBr7,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-burnt-sienna-14-ml-tube/
Blick,Burnt Umber,#3E1F02,,PBr7,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-burnt-umber-14-ml-tube/
Blick,Cadmium Lemon,#F6F309,,PY35,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-cadmium-lemon-14-ml-tube/
Blick,Cadmium Orange,#FF8600,,PR108,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-cadmium-orange-14-ml-tube/
Blick,Cadmium Red Deep,#DD493A,,PR108,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-cadmium-red-deep-14-ml-tube/
Blick,Cadmium Red Light,#ED3F00,,PR108,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-cadmium-red-light-14-ml-tube/
Blick,Cadmium Red Medium,#D30012,,PR108,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-cadmium-red-medium-14-ml-tube/
Blick,Cadmium Yellow Deep,#F97F09,,PY35|PO20,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-cadmium-yellow-deep-14-ml-tube/
Blick,Cadmium Yellow Light,#E5A318,,PY35,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-cadmium-yellow-light-14-ml-tube/
