slug,colorCode,type,number,name,alternateNames,ciConstitutionNumber,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
PV62,V,CINATURAL,1,Strontium Phosphate Violet,,,,,I,S/T,X,,
NV1,V,CINATURAL,1,Tyrian Purple,"Argaman;
 Byzantium Purple;
 C.I. Natural Violet 1;
 French Purple;
 Genuine, Imperial Purple [KP.p];
 Grecian Purple;
 Imperial Purple; 
 Murex Purple;
 Ostrum;
 Purpurissum [KP.p]; 
 Purple Fish;
 Purple of Mollusca;
 Purple of the Ancients;
 Roman Ostrum;
 Royal Purple;
 Shellfish Purple;
 Tekhelet; 
 Tyrian Purple;",75800,"Preparation from the ink of the shellfish Murex trunculis and Murex brandaris; 
 6,6´-dibromindigo with other impurities;
  
 CAS 19201-53-7",Reddish to Bluish Deep Purple,T,III,A,"1 gram of this dye
 is made from the secretion of 10,000 sea snails. (Ref).;Synthesized from Coal Tar in 1904"
PV1,V,CIPIGMENT,1,Rhodamine Violet,"Basic Violet 10;
 Blue Violet;
 Brilliant Purple [WN.g];
 Brilliant Red Violet [SCH.w | WN.g];
 C.I. Pigment Violet 1;
 Fast Rose Lake;
 Pigment Violet 1;
 Purple Violet;
 Rhodamine;
 Rhodamine 610;
 Tyrian Rose [SE.w]","45170:2
 12475","Rhodamine Phosphotungsto-
 molybdic acid salt;
 CAS 1326-03-0",Bright fluorescent reddish violet,T,IV,B,"* ""The fluorescent dye Rhodamine B is toxic, and its use is banned in food, textiles, and cosmetics."" ""With proper preparation, the pigment Rhodamine B Lake is considered harmless, even if ingested."" -Blick Art Materials Site (Ref).;
  
 **Fluorescent paints are not recommended for permanent art work unless it will be completely protected from light."
PV1:1,V,CIPIGMENT,1.1,Pigment Violet 1:1,"C.I. Pigment Violet 1:1;
 Pigment Violet 1:1;
 Rhodamine",,"Rhodamine Phosphotungsto-
 molybdic acid salt",Bright reddish violet,T,III,A,
PV1:2,V,CIPIGMENT,1.2,Rhodamine B Molybdate,"C.I. Pigment Violet 1:2;
 Normandy Magenta;
 Rhodamine B Molybdate",45170:4,Rhodamine B Molybdate,,X,IV,A,
PV2,V,CIPIGMENT,2,Purple,"Brillfast Vivid Magenta 6B;
 C.I. Pigment Violet 2;
 Fanal Violet D 5460;
 Light Purple;
 Parma Violet;
 Pigment Violet 2;
 Purple Lake;
 Rhodamine;
 Purple; 
 Vivid Magenta 6B;
 Xanthene PTMA;",45175:1,"Rhodamine Phosphotungsto-
 molybdic acid salt;
  
 CAS 1326-04-1",Bright reddish violet,X,III,A,
PV2:2,V,CIPIGMENT,2.2,Pigment Violet 2:2,"C.I. Pigment Violet 2:2;
 Pigment Violet 2:2;
 Rhodamine 3B PTMA",45174:2,"Rhodamine Phosphotungsto-
 molybdic acid salt",,X,III,A,
PV3,V,CIPIGMENT,3,M Methyl Violet,"Blue Violet [SE];
 Brilliant Blue Violet [SCH.w];
 C.I. Pigment Violet 3;
 Fast Violet Lake;
 Gentian Violet;
 Light Purple;
 Methyl Violet;
 Methyl Violet Tungstomolybdate;
 Methyl Violet SMA;
 M Methyl Violet;
 Parma Violet;
 Pigment Violet 3;
 Purple Lake;
 Spectrum Violet [WN.g];
 Triarylcarbonium",42535:2,"Triphenylmethane Phosphotungsto-
 molybdic acid salt;
  
 CAS 1325-82-2",Bright bluish violet,T,IV,B,"""Methyl Violet 2B is harmful to living cells and organisms, so it is diluted in medical and biological applications as a topical fungicide or disinfectant.""= Blick Art Materials Website (Ref)"
PV3:1,V,CIPIGMENT,3.1,Methyl Violet,"C.I. Pigment Violet 3:1;
 Lamprolac Violet BM;
 Methyl Violet;
 Methyl Violet Molybdate;
 Pigment Violet 3:1",42535:4,"Triphenylmethane Silicomolybdic acid salt;
  
 CAS 68647-35-8",Bright bluish violet,T,IV,B,
PV3:3,V,CIPIGMENT,3.3,Methyl Violet Tannate,"C.I. Pigment Violet 3:3;
 Methyl Violet Tannate;
 Pigment Violet 3:3",42535:5,"Triphenylmethane Tannic acid salt;
  
 CAS 68308-41-8",Bright bluish violet,T,IV,B,
PV5,V,CIPIGMENT,5,Alizarine Violet,"Alizarine Violet [KP.p];
 Alizarin Violet Lake (hue) [SE.os];
 C.I. Pigment Violet 5;
 Fanchon Maroon;
 Pigment Violet 5;
 Quinizarin Maroon [DS.o]",58055,"Anthraquinone;
  
 CAS 22297-70-7",Bright Violet,T,II,A,* Good lightfastness in mass tone but poor in tints
PV5:1,V,CIPIGMENT,5.1,Quinazarine Super Maroon,"Alizarine Violet (hue) [GU | KP.p];
 C.I. Pigment Violet 5:1;
 Pigment Violet 5:1;
 Quinazarine Super Maroon;",58055:1,"Anthraquinone;
  
 CAS 1328-04-7",Bright reddish violet,X,II,A,"*Blue wool scale 7-8 in mass tone, 5-6 in tints"
