slug,colorCode,type,number,name,alternateNames,ciConstitutionNumber,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
NW1,W,CINATURAL,1,Guanine,"C.I. Natural White 1;
 Dew Pearl;
 Essence d'orient; 
 Fischsilber;
 Fish Silver [KP.p];
 Guanin;
 Guanine;
 Guanine enol;
 Mearlmaid;
 Natural Fish Silver; 
 Natural Pearl Essence;
 Naturon; 
 Natural White 1;
 Pathocicin;
 Perlglanzmittel; 
 Purine; 
 Stella Polaris",75170,"Guanin, Iminoxanthin, 2-Amino-6-oxypurin; 
 Pearl essence extracted from scales of fish, mostly from herring and sardines.;
 CAS 73-40-5",Iridescent white to silver to yellow off white,T,X,A,Usually used to give iridescence or pearl lustre to other pigments (Ref)
PW1,W,CIPIGMENT,1,Lead White,"Acrusite*;
 Basic Lead Carbonate2;
 Basic White Lead2;
 Berlin white;
 Biacca;
 Biacca di Venetia;
 Bly-spat;
 Body White;
 Ceruse [NP.p];
 Ceruse White [NP.p];
 Cerussa;
 Cerussa Native*;
 Cerussete;
 Cerussite1;
 Cerussite* (Natural Lead White)1 [NP.p];
 C.I. Pigment White 1;
 Clichy White Lead;
 Corroded White Lead;
 Cremser White;
 Cremnitz White [OH.o | WN.o];
 Cremnitz White (Linseed Oil) [MH.o];
 Cremnitz White (Walnut Oil) [MH.o];
 Dutch Method White; 
 Dutch Process White; 
 Dutch White Lead;
 Flake White [BX.o | BR | KA.o.p | KP.p | MA.p | NP.p3 | RGH.o.p | SE.p | UT.o | .o | WL.o(SF) | WN];
 Flake White + Powdered Glass [RGH.o];
 Flake White Extra Fine [RGH.o];
 Flakelead;
 Flemish White [UT.o];
 Foundation White;
 Genoa White;
 Hamburg White;
 Holland white;
 Hydrocerussite;
 Krems White;
 Kremser White;
 Kremniz White;
 Kremnitz White;
 Lead Salt;
 Lead Spar
 Lead Subcarbonate;
 Lead White [NP.p];
 Lead White #2 [NP.p];
 London White;
 Minium Album;
 Nottingham White;
 Neutral Lead Carbonate;
 Pigment White 1;
 Plumbous Carbonate;
 Psmithium;
 Roman White;
 SF Flake White [ WL.o(SF)];
 Silver White [HO.o];
 Slate White;
 Stack Lead White [MH.o]
 Stack Process White Lead [NP.p];
 Stack Process White Lead (Dutch Method) [NP.p];
 Slate White;
 Snowflake White;
 Synthetic Hydrocerussite;
 Venetian Ceruse;
 Venetian White [NP.p];
 Vienna White;
 White lead2",77597,"Synthetic Inorganic; 
 White Lead (Ref wikipedia);
 Stack or Dutch process lead white (Flake White) is made by taking strips or sheets of lead and rolling them up into porous clay pots where they are suspended above weak acetic acid (vinegar). The pots are then buried in fermenting horse dung or cow manure producing heat and CO2. The surface crust (flakes) are scraped off and then washed, dried & ground into a powder.
 Stack Process Lead White (Ref Natural Pigments); 
 Chemical composition and other interesting information can be found at PubChem Open Chemical Database; 
 ""Lead carbonate is one of the compounds which can be named lead white. It is the synthetic analogue of the mineral cerussite"", ""Lead white usually refers to Lead Carbonate Hydroxide (Basic Lead Carbonate, Lead(II) carbonate basic or the natural form Hydrocerussite.
 In addition ‘lead white’ may be extended to describe the lead chloride oxides, lead phosphates and particularly the lead sulfates"" (Ref Pigment Compendium p.228, p.239)
 Cerussite1 and Hydrocerussite are the natural mineral forms and may have some impurities. (Ref wikipedia); (Ref galleries.com); (Ref google images); (Ref webmineral.com);
 Hydrocerussite (Ref mindat.org, and pic gallery); (Ref webmineral.com, Nice Pic here); (Ref pdf from handbook of mineralogy.org); (Ref pics at wikimedia.org); 
 Making pigments and more info: lead white at ""Pigments through the Ages"" @ WebExhibits.org Curated by Michael Douma
 In tests using spectroscopic analysis some brands of Lead White represented to be genuine pure PW-1 are in fact adulterated by Lead(II) sulfate, calcium carbonate, gypsum or chalk (Reference: A Critical Analysis of Commercial Pigments, by M. Pérez, K. Castro, M.D. Rodríguez2, MA. Olazabal and J.M. Madariaga, University of the Basque Country, Dept. Analytical Chemistry and Dept. Painting).
 Lead Carbonate2 (Ref wikipedia);
 Basic Lead Carbonate;
 Lead Carbonate Hydroxide; 
 Lead(2+) dicarbonate dihydroxide;
 Cerussite:
 CAS 598-63-0;
 Hydrocerussite:
 CAS 1319-47-7
 Lead Carbonate2:
 CAS 598-63-0; 
 Basic Lead (II) Carbonate;
 2 PbCO3· Pb(OH)2;
 C2-H2-O8-Pb3: 
 CAS 1319-47-7,
 1319-46-6
 EC 215-290-6","Silvery or creamy white;
 good tinting strength
 † Darkens, Darkening may be due to atmospheric sulfides or sulfur fumes",S/O,I,C,"May be slightly yellowish or off-white in oil paints due to binder.;
 May darken if exposed to sulfur fumes.;
 More stable in oil paints, the oil protecting it from exposer to the atmosphere.;
 Many historical names referred to specific method or place of manufacture. Today these names are mostly just marketing terms, although some pigment suppliers have genuine Ceruse, and Flake white (dutch process) still available in small batches, most notably Natural Pigments, Kremer and Michael Harding to name a few. 
 Some Lead Whites are adulterated with Blanc Fix or Lithopone as extenders, adulterants and/ or to improve consistency. This would not usually be on the label or indicated in the literature. (Ref. THE ARTIST’S HANDBOOK by Pip Seymour)
 * all paints containing lead require a PROP 65 warning label in CA.
 Take precautions when working with lead paints. Lead is an accumulative poison and can build up in your body over years.
 Do not ingest, avoid skin contact.
 Lead has a sweet taste (it was even used as an artificial sweetener by the Romans), so keep it far out of the reach of children and pets.
 Do not inhale, wear a NIOSH certified dust mask when working with the dry pigment.
 It's a bad idea to ever spray paint or airbrush with lead based pigments. Even if you wear a dusk mask and protective clothing, it would be almost impossible to control and clean up the overspray."
PW2,W,CIPIGMENT,2,Lead Sulphate White,"Bartlett White Lead;
 C.I. Pigment White 2;
 Sublimed White Lead;
 Flemish White; 
 Freeman's Lead;
 Freeman's White;
 Non-poisonous White Lead*;
 Patent White Lead;
 Pigment White 2;
 Purex White;
 Lead Bottoms;
 Lead Sulfate [NP.p];
 Lewis White Lead;
 Silver Lead;;
 White Lead;
 White Lead Sulfate",77633,"Tetrabasic Lead Sulfate (Ref Natural Pigments Blog);
 Basic Lead Sulphate plus Zinc Oxide; 
 Lead oxide sulphates;
 CAS 7446-14-2",Grayish to White,S/O,I,C,"Some common names, chemical data, and pigment info is confusing or conflicting and seem to refer to PW2 and PW3 interchangeably. 
 * Although less soluble than Basic Lead Carbonate (PW1), ""Non-poisonous White Lead"" (Tetrabasic Lead Sulfate PW2) is a toxic cumulative poison if ingested over a long period of time."
PW3,W,CIPIGMENT,3,Basic Lead Sulphate White,"Anglesite;
 Bleisulfat; 
 Basic Lead Sulphate;
 C.I. Pigment White 3;
 Fast White;
 Flemish White; 
 Freeman White;
 Freeman's White Lead;
 Lanarkite;
 Lead Bottoms;
 Lead Dross;
 Lead Sulfate;
 Lead Sulphate;
 Lead Vitriol;
 Milk White;
 Mulhaus White; 
 Mulhouse White;
 Mulhouse White Lead;
 Natural Anglesite; 
 Pigment White 3;
 Sulfate de plomb;
 Sulfate White Lead;
 Sulfuric Acid Lead Salt;
 White Lead",77630,"Lead Sulphate;
 Natural Mineral Anglesite (Ref Pigment Compendium, 2008), (Ref Mineral at webmineral.com); 
 lead salt of sulfuric acid; 
 Lead(II) Sulphate; (Ref Pigment Compendium, 2008), (Ref Boston Fine Arts);
 (Ref Natural Pigments Blog);
 CAS: 7446-14-2",Grayish to White,S/O,I,C,
PW4,W,CIPIGMENT,4,Zinc Oxide White,"Blanc de Zinc [LB.o];
 Chinese White [AS | BA.w | DS.w | LK | MA.w.w | RT.w | WN.w.w.wp];
 C.I. Pigment White 4;
 French White;
 Hubbocks White;
 Mixing White [WN.a];
 Neo-Zinc White [HO.o];
 Orr's Zinc White;
 Permanent Chinese White [MR.o | SCH.w];
 Permanent White;
 Pigment White 4;
 Sinopia Zinc White, transparent [SI.p];
 Silver White;
 Snow Flowers;
 Snow White;
 Tint White [SE.a];
 Transparent Mixing White [LQ.a]; 
 Transparent Mixing White (Zinc White) [LQ.a];
 Zinc Buff Yellowish* [WL.o.p];
 Zinc Flowers;
 Zinc Oxide [GEN | KA | NP.p];
 Zinc Mixing White [TA.a.af];
 Zinc White [GEN | BA.o.w | BX.o.w | CAS.k | CH |DR.o.o.t | DS.ad.o.pd | DV.k.o | GB.o | GO.a.af.ag.ao | GR.o.o.wo | GU | HO.o | KA..o.p | KP.p | LB.o | LK | MA.a.a.g.o.o(artis).p | MG.a.g.o  | MH.o | MR.o | MW.o | OH.a.o | PF.o | RGH.o.p | RT.o | SCH.a.g.o.o(Mus).p | SE.p.t | SV | UT.o | WL.o.p | WN.o.w];
 Zinc White Oxide [GB.p];
 Zink White [SCH]",77947,"Inorganic; 
 Zinc Oxide;
 Zincite is the natural mineral form often reddish from impurities of manganese.
 It has been used since antiquity, resulting from a byproduct of brass production.
 ""The pure oxide is made from the controlled oxidation of zinc vapors derived from heating metallic zinc at 300°C"" (Petit, 1907). - (Ref. Zinc Oxide; Pigment Compendium, A Dictionary of Historical Pigments; by Nicholas Eastaugh, Valentine Walsh, Tracey Chaplin and Ruth Siddall; 2008; p.212-213)
 Making pigments: How to make Zinc White at webexhibits.org;
 CAS 1314-13-2,
 CAS 91315-44-5","Translucent white with slightly warm undertones, can also be slightly blueish off white;
 Zinc Buff: Yellowish light pale yellow;
 staining w/ good tinting strength
  † Lightens slightly becomes more opaque (Handprint), becomes brittle in oils.",S/O,I,A,"More info on PW-4 including a lightfastness test in watercolor by Bruce MacEvoy @ handprint.com. See Pigment White 4 @ Handprint.com; 
 Zinc White is often mixed with Titanium White in artist's oil paints. Titanium White is said to be soft and ""spongy"" and Zinc White is said to be hard and ""brittle"". Together they supposedly cancel out each others cons.;
 New studies suggest zinc white may lead to premature cracking in oil colors (Ref. Natural Pigments),
 The studies on zinc white cracking, may or may not pertain to mixtures with Titanium White in artist paints."
PW5,W,CIPIGMENT,5,Lithopone,"Albanol;
 Beckton White;
 Blanc de Titane [LB.o];
 Cariton white;
 Charlton white;
 C.I. Pigment White 5;
 Diamond White;
 English White;
 Graves White;
 Griffith's White;
 Griffith's Patent Zinc White;
 Jersey Lily White;
 Knight's White;
 Lithopone [GEN | KA.p | KP.p | SCH.p];
 Lithopone Silver;
 Lithopone White [SE.p]; 
 Marbon White;
 Mixing White [SCH]; 
 Navin's White;
 Oleum white;
 Opaque White [LK]; 
 Orr's White;
 Orr's Zinc White;
 Porcelain White [WL.o(SF)];
 Pigment White 5;
 Ponolith;
 Ross' white;
 SF Porcelain White [WL.o(SF)];
 Snow White;
 Structure White;
 Sulphogen White;
 Transparent White [LA.a]; 
 White;
 White smalt;
 Zinc Baryta White;
 Zinc Mixing White [DR.a(s3hb).a(s3mb)];
 Zinc Sulfide [MA.p];
 Zinc White [DR.a.g | HO.a.g | WN.g]",77115,"Inorganic; 
 ""an insoluble mixture of barium sulfate and zinc sulfide that precipitates upon mixing solutions of barium sulfide and zinc sulfate. The precipitate is recovered by filtration, then calcined"" (Britannica.com Ref);
 ""Complex co-precipitate, but not a compound, of calcium sulfate and zinc sulfide"" (Ref Color index 3rd Ed., V.4, Inorganic colorants CI 77115);
 Barium sulfate (28 - 30%) and zinc sulfide (68 - 70%) with trace amounts of zinc oxide;
 CAS 1345-05-7","White, slightly duller / greyer than PW-4 or PW-6
 Non-staining w/ fair tinting strength, depending on binding medium",S/O,I,A,"Sometimes used as a base for Lake pigments.;
 Added to artist, and so-called ""designer"" or ""Illustrator"" gouache paints to make a pigment more opaque and to lighten the hue, this is often not indicated on the art supply manufacturer's labels.;
 Often used as a extender in cheap white paints.;
 Used as a white pigment or adulterant in artist paints, student grade paints and many light colored artist convenience mixes especially in economy priced paints."
PW6,W,CIPIGMENT,6,Titanium White,"Aeroweiss DS [SCH];
 Anatase**;
 Antique White [HO.w(ant)];
 Buff Titanium [BA.o | CAS.k | DR.a.a.a(s3hb).a(s3mb).o(georg).o.];
 C.I. Pigment White 6;
 China white [PF.w];
 Chinese White [HO.ag.w | MG.w | SH.w];
 Chalk White; 
 Double White [MA.o(HD)];
 Fast Drying Titanium White [CR.o];
 Flake White (Hue) [DV.k];
 Heavy Body White [SCH.a];
 Inorganic Oxide White;
 Kronos Titanium Dioxide;
 Mixing White [WN.a];
 Inorganic Synthetic Opaque White;
 Opaque White [LK | SCH];
 Permanent White [DR.g. | HO.g.wo | w | WN.g];
 Permanent White EX [HO.o];
 Permanent White SF [HO.o]; 
 Pigment White 6;
 Primary White [HO.g];
 Quick-Dry White [HO.o];
 Quick Drying White [HO.o];
 Radiant White [GB.o];
 Santorini White [MA.o(Med)];
 SF Titanium White [WL.o(SF)];
 Sinopia Titanium White Rutile [SI.p]; 
 Super White [MA.o(artis)];
 Tinting White [CR.ao.o.];
 Titan Buff [ GO.a.ab.ag.ao ];
 Titanium Buff [GO.a | GU]; 
 Titanium Dioxide [ NP.p];
 Titanium Dioxide White;
 Titanium Opaque White [SCH.w];
 Titanium White* [GEN | AS | BA.a.a.ag | BX.o.w | CAS.k | CH | CL | CR.a(jo).a.ao.o | DR.a.a(s3hb).a(s3mb).g.w.t | DS.ad.o.pd.w | DV.a.af.k.w | EP.p | GO.a.ab.af.ag.ao | GU | HO.a.ag.o.w.wo | JO.a | KA.ad.o.p | LA.a | LB.o | LK | LQ.a | MA.a.a.o.p | MG.a.w | MR.o | MT | OH.a.o | PF.o.o.w | RGH.o.p | RT.a.a.wo | SCH.a.g.p | SE.a.p.t | SQ.a | TA.a.af | UT.a | WL.o.o(SF).p | WN.a.a.k.w.w.wp];
 Titanium White Dioxide [GB.p];
 Titanium White Extra Opaque [OH.a];
 Titanium White No. 1 [MH.o];
 Titanium White No. 3 (with driers) [MH.o];
 Titanium White (opaque) [HO]; 
 Titanium White (Opaque White) [WN.w.wp]; 
 Titanium White Rutile [KP.p];
 Titanox;
 Translucent White [SCH.o];
 Transparent Titanium White [GU | RT.w];
 Unbleached Titanium [RGH.o.p | SQ.a | TA.a.af | WL.o.p];
 Warm White [SQ.a | TA.a.af ];
 White [AS | DR.a | HO.af.| LA.a | MA | SE];
 White Permanent [MW.wo];
 White (Titanium) [DV];
 XSL Titanium White;
 Zinc White Imitation [PF.o];",77891,"Inorganic; 
 Titanium Dioxide (Ref at Boston Fine Arts CAMEO);
  Anatase (Natural Mineral) (Ref at Boston Fine Arts CAMEO); 
 Titanium (IV) Oxide Anatase;
 Titanium (IV) Oxide Rutile;
 Titanium (IV) Oxide Brookite
 LBNLPigment Database Spectral radiative properties;
 Inorganic Oxide White;
 Titanium Dioxide White;
 Titanium White (i);
 Titanium White (ii);
 Making pigments: Titanium White at webexhibits.org;
 CAS 13463-67-7","Pure neutral white, can have a slight blue undertone;
 Lightly staining w/ stronge tinting strength
 Note: Some ""Titanium White"" pigments are not only PW6, but mixtures with zinc white or Lithopone. Mixtures with Lithopone are not usually marked on the label or literature and can be considered extended or adulterated.",S/O,I,A,"More info on PW-6 including a lightfastness test in watercolor by Bruce MacEvoy @ handprint.com. See Pigment White 6 @ Handprint.com;
 * Often Titanium White is mixed with Zinc White in artist's oil paints. Titanium White is said to be soft and ""spongy"" and Zinc White is said to be hard and ""brittle"". Together they supposedly cancel out each others cons. This Pigment Database only has artist paints or pigments that are single pigment and not mixed.
 The term Titanium White has been used for almost any white pigment containing titanium, according to M. Laver in her chapter on Titanium White, in the book Artists' Pigments: A Handbook of Their History & Characteristics, Vol 3, 1997
 Some other pigments associated with the name Titanium White are Barium titanate, Lead Titanate, Potassium Titanate, Titanated lithopone, Titanium lithopone, Titanium phthalate, Titanium silicate and Zinc titanate."
PW6:1,W,CIPIGMENT,6.1,Titanium White Buff,"Buff Titanium [DR | DS.ad.o.pd.w | KP.p];
 Buff Titanium Gray [CAS.k];
 Buff Titanium Light [CAS.k];
 Buff Titanium, natural titanium dioxide [KP.p];
 Buff Titanium Oxide;
 Ceruse (hue) [MA.o(Ren)];
 Chinese White [GR.w];
 C.I. Pigment White 6:1;
 Hitox Buff Titanium Oxide;
 Natural Titanium; 
 Natural Titanium Dioxide;
 Pigment White 6:1;
 Titan Buff [GO.a.ab.af.ag.ao];
 Titanium Buff [ GO.a.ab.af.ag.ao | GU | SI.p];
 Titanium White [BA.w | GR.a.w]; 
 Titanium White Buff;
 Unbleached Titanium [WL.o];
 Unbleached Titanium Dioxide [MH.o];
 Unbleached Titanium Pale [WL.o]",77891,"Inorganic; Natural Titanium, Titanium Dioxide and Ferric Oxide bound together with other metallic oxides;
 TiO2
 CAS 13463-67-7",Off White,O,I,A,
PW7,W,CIPIGMENT,7,Zinc Sulphide White,"Chinese White;
 C.I. Pigment White 7;
 Matting;
 Opaque White [SCH.o];
 Pigment White 7;
 Sphalerite;
 Wurtzite;
 Zinc blende;
 Zinc Buff [WL.o]; 
 Zinc sulfide [KP.p; MA.p];
 Zinc Sulphide White;
 Zinc White[RT.a.a | WL.o];","77995
 77975","Inorganic; 
 Zinc Sulphide White;
 CAS 1314-98-3",White to yellowish,S/O,I,A,"Phosphorescent and electroluminescent properties, often used to make fluorescent and glow-in-the-dark paints;
 ""It is often used for ""invisible ink"" that glows with exposure to ultraviolet light.""-Blick Art Materials site reference;
 *Transparency increases the smaller the particles;
 **may have traces of lead"
PW8,W,CIPIGMENT,8,Strontium sulfide,"C.I. Pigment White 8;
 Strontium Sulfide",77847,"Strontium sulfide;
 Strontium sulfide is fluorescent and phosphorescent. The initial brightness of strontium sulfide type phosphors is lower than that of the zinc sulfide type, and the duration of afterglow is longer.",phosphorescent,X,X,,
