slug,colorCode,type,number,name,alternateNames,ciConstitutionNumber,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
PY1,Y,CIPIGMENT,1,Hansa Yellow G,"Arylide yellow G;
 Azo Yellow Orange [WNd]; 
 Blockx Yellow [BXd];
 Brilliant Yellow;
 Brilliant Yellow Pale;
 Cadmium Orange Hue [UT.ad]; 
 Cadmium Yellow (hue);
 Cadmium Yellow Deep substitute [SE.p];
 Cadmium Yellow Hue [PFd]; 
 Cadmium Yellow Light Hue [HO.o | MR.o | LK]; 
 Cadmium Yellow Medium Substitute [SE.p]; 
 Caution Yellow [MA.o(HD)];
 Chrome Lemon (hue);
 C.I. Pigment Yellow 1; 
 Hansa Yellow G [GEN];
 Helio Genuine yellow Light [LKd]; 
 Helio Yellow;
 Helio Genuine Yellow Light [LK.wd];
 Lemon Yellow;
 Light Fast Yellow G;
 Light Yellow;
 London Yellow [WNd];
 Monoazo Yellow;
 Monolite Yellow G;
 Naples Yellow Subsitute [SE.p];
 Permanent Yellow [HO.g];
 Permanent Yellow Deep [HO.g];
 Permanent Yellow Lemon [MA.o(artis)];
 Permanent Yellow Light [MA.p];
 Permanent Yellow Medium [WL.od]; 
 Pigment Yellow 1;
 Pigment Yellow G;
 Primary Yellow [SE.os]; 
 Spectrum Yellow [WN.g];
 Yellow [HO.a];
 Yellow Lake [MH.o]",11680,"Synthetic Organic;
 Monoazo;
 Arylamide;
 Chemical information @ PubChem Open Chemistry Database.
 C17H16N4O4
 CAS 2512-29-0","Bright Light Medium to reddish Yellow;
Staining w/ good tinting strength
† Darkens in masstone, fades in tints (handprint)",S/T,V,A,"One of the first modern bright yellow azo pigments in artist's paints, introduced in Germany in 1911 (Ref PCImag).;
 More info on PY-1 in watercolors @ handprint.com
 * ASTM V (very poor) but some manfacturer literature and other tests put it at blue wool scale 6-5 (fair) but worse in in tints. May be best to avoid, PY 154 is similar shade and more light fast (Ref handprint)"
PY1:1,Y,CIPIGMENT,1.2,Monolite Yellow G,"Arylide yellow G [DR.g];
 Cadmium Yellow Deep Hue [DR.a(s3hb).a(s3mb)];
 Cadmium Yellow Orange Hue
 [SE.o.o]; 
 Chrome yellow (hue);
 C.I. Pigment Yellow 1:1;
 Eljon Yellow 2R; 
 Hansa Yellow;
 Helios Orange [GU]; 
 Monolite Yellow G;
 Permanent Yellow Deep; 
 Pigment Yellow 1:1;
 Yellow Lake Deep [MH.o]",11680:1,Monoazo ; Arylamide; CAS 12240-03-8,Bright Light Medium to deep Yellow*,S/O,III,A,"* Usually slightly redder than PY1;
 Probably suffers the same poor light fastness of PY1"
PY2,Y,CIPIGMENT,2,Hansa Yellow GR,"C.I. Pigment Yellow 2;
 Hansa Yellow GR;
 Pigment Yellow 2",11730,Monoazo ; Arylamide; CAS 6486-26-6,Bright yellow,X,X,A,
PY3,Y,CIPIGMENT,3,Hansa Yellow 10G,"Antique Lemon [HO.w(ant)];
Arylamide Yellow; Arylide yellow 10G;
Arylide yellow light [SQ.a | TA.a.af ] Azo Yellow Lemon [OH.a.o.w | RT.a];
Blockx Yellow [BX.w];
Bright Yellow Lake [MH.o];
Brilliant Yellow;
Cadmium Lemon Azo;
Cadmium Lemon Hue [SE.o.]; Cadmium Yellow Lemon Hue [HO | MR.o | SE.o];
Cadmium Yellow Light Hue [LQ.a];
C.I. Pigment Yellow 3; Hansa 10G [GU.p];
Hansa Yellow [CL | LA.a | MG.a a..g.o.w];
Hansa Yellow Deep [RGH.o]; Hansa Yellow Light [GEN | DS.ad.i.o.w | DV.a.af.k..o.w | GB.o.o | GO.a.ab.af.ag.ao | KA.o.p | RGH.o];
Hansa Yellow Light Lemon [DV.w];
Hansa Yellow Pale [UT.a]; Helio Genuine Yellow Lemon [LK];
Helio Yellow;
Japanese Yellow Lemon [LB.o]; Juane Citron [LB.o];
Lemon [HO.a];
Lemon Yellow [GEN | AS | BA.o.o.w |DR.a.a.a(s3hb).a(s3mb).g.o(georg).o.w.w | GR.w.w | HO.ag | LA.a | LB.o | MA.a.g | RT | SE.a.o.w | SCH.a.g.o.o(Mus).p | UT.w*? | SE.o.p.t | WN.a.a.g.wo];
Lemon Yellow Hansa [SE.a]; Lemon Yellow Hue [WN.o]; Lemon Yellow (Primary) [HO.ag.g | LK];
Life Yellow [MA.o(HD)];
Light Yellow [HO.a];
Monolite Yellow;
Permanent Lemon [WL.o];
Permanent Yellow;
Permanent Yellow Lemon [MA.o(artis).p];
Permanent Yellow Light [WL.o.p]; Pigment Yellow 3;
Primary Yellow [LK];
Primrose Yellow [AS];
Scheveningen yellow lemon [OH.o.w];
Studio Yellow [KP.p];
Titanium Yellow (hue) [PF.w]; Turner's Yellow (hue);
Winsor Lemon [WN.k.o]; Yellow Light Hansa [BA.a | CR |LQ.a | MT];
Zinc Yellow Hue [GR.o]",11710,"Organic; Monoazo; Arylamide;
C16-H12-Cl2-N4-O4
PY-3 @ PhubChem Chemistry Datadase
CAS 6486-23-3
EC 229-355-1","Bright light lemon yellow; Green undertone, does not lose chroma when extended;
 medium tinting strength, moderately staining
 † Darkens, fades, Hue shift towards brown",S/T,II,A,"PY 97 or PY 154 are similar and more light fast, PY175 is a nice lemon yellow too. 
 ** ASTM II (Color Index third ed), and many paint suppliers put it at II (very good) with lightfastness lower in tints. 
 In watercolor, some brands perform worst (Ref see PY3 at handprint.com);
 ** Possible carcinogen"
PY4,Y,CIPIGMENT,4,Arylide Yellow 13G,"Acetoacetyl;
 Arylide Yellow 13G;
 C.I. Pigment Yellow 4;
 Eljon Yellow 5G; 
 Hansa Yellow;
 Lemon Yellow [LB.av.o]
 Pigment Yellow 4",11665,"Monoazo; Arylamide;
CAS 1657-16-5",Bright greenish yellow,X,II,A,
PY5,Y,CIPIGMENT,5,Hansa Yellow 5G,"Arylide Yellow;
 C.I. Pigment Yellow 5;
 Hansa Yellow 5G;
 Pigment Yellow 5",11660,"Monoazo; Arylamide;
CAS 4106-67-6",Bright greenish yellow,X,X,A,
PY6,Y,CIPIGMENT,6,Hansa Yellow 3G,"C.I. Pigment Yellow 6;
 Hansa Golden Yellow;
 Permanent Yellow Orange [HO.g];
 Pigment Yellow 6",11670,Monoazo; Arylamide; CAS 4106-76-7,Bright yellow,X,III,A,
PY9,Y,CIPIGMENT,9,Azo Yellow 2GX,"Azo Yellow 2GX;
 C.I. Pigment Yellow 9;
 Pigment Fast Yellow GRL;
 Pigment Yellow 9",11720,"Monoazo;
CAS 6486-24-4",Yellow,X,X,A,
PY10,Y,CIPIGMENT,10,Hansa Yellow R,"Arylide Yellow;
 C.I. Pigment Yellow 10;
 Hansa Yellow;
 Pigment Yellow 10",12710,"Pyrazolone azo;
CAS 6407-75-6",Reddish yellow,X,X,A,
PY12,Y,CIPIGMENT,12,Benzidine Yellow G,"Benzidine Yellow G;
 C.I. Pigment Yellow 12;
 Dairylide Yellow 12;
 Dairylide Yellow AAA;
 Disazo Yellow;
 Pigment Yellow 12",21090,"Disazo;
CAS 6358-85-6",Brownish orange yellow,O,III,A,used mainly for inks
PY13,Y,CIPIGMENT,13,Benzidine Yellow GR,"Arylamide Yellow;
 Benzidine Yellow GR;
 C.I. Pigment Yellow 13;
 Dairylide Yellow AAMX;
 IRGALITE Yellow BAW;
 Orange Red;
 Pigment Yellow 13;
 Vulcan Fast Yellow GR",21100,"Disazo; Diarylide m-xylidide;
CAS 5102-83-0",Bright Reddish yellow,S/O,III,A,slightly more lightfast than PY12; used mainly for inks
